Participant_ID,SEX,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Primarily_Attracted,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,Orientation,GenHealth1,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11_rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS25,CMVS24_rc,CMVS25_rc,CMVS26_rc
38,0,28,1, , ,2,1,1,5,8,9,3,1,17,2,4,1,0,1,3,3,5,2,2,5,6,4,4,3,6,3,5,1,4,2,2, ,4,4,2,3,5,5,3,6,5,1
40,0,31,3, , ,4,2,1,5,11,1,1,1,27,2,1,1,0,1,4,4,3,4,4,5,1, ,1,1,2,5,4,3,4,4,3,3,2,2,3,2,3,4,4,4,4,6
44,0,29,3, , ,4,4,1,3,9,5,5,1,18,2,4,2,5,1,5,6,5,4,5,5,6,5,4,5,5,4,5,5,6,5,4,5,6,5,4,6,4,6,4,3,4,2
49,0,36,8, , ,4,4,1,4,10,8,30,1,18,2,5,5,3,1,3,1,1,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,2,2,1,2,2,7,6,6
50,0,23,2, , ,4,6,1,2,9,8,3,1,17,2,2,1,14,1,3,5,4,5,3,4,6,5,4,5,4,3,4,5,6,4,4,4,5,4,6,4,4,3,5,3,3,4
51,0,27,3, , ,5,1,1,5,11,11,0,2, ,2,1,1,0,1,5,5,5,5,6,5,6,5,4,5,3,5,4,5,5,5,5,4,4,2,3,4,5,6,3,3,5,4
67,0,37,3, , ,3,1,1,5,7,1,2,1,21,2,2,2,10,1,4,7,7,7,7,7,7,7,7,5,6,1,7,4,5,6,6,7,6,4,6,6,3,6,7,2,1,2
72,0,29,2, , ,4,3,1,2,10,10,2,1,28,2,1,1,1,1,4,2,3,2,3,2,3,4,3,2,2,5,2,3,4,3,2,3,4,3,2,3,4,3,3,6,5,4
92,0,34,1,6, ,1,7,1,5,10,1,5,1,16,2,20,0,0,1,3,4,4,6,6,4,3,7,6,6,6,7,7,7,7,7,6,7,1,1,2,4,6,6,1,4,7,1
102,0,49,1, , ,5,7,1,5,10,9,6,1,21,2,4,4,100,1,4,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,3,4
106,0,29,1, , ,4,1,1,4,11,1,5,1,15,2,5,1,30,1,2,5,6,5,3,5,4,6,5,6,5,2, ,5,5,5,6,5,5,6,4,2,4,5,6,3,2,3
