Participant_Sex,Participant_Age,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MEQ13,MEQ14,MEQ15,MEQ16,MEQ17,MEQ18,MEQ19,MEQ20,MEQ21
2,38,3,4,3,1,2,7,5,4,6,7,7,2,4,5,3,5,5,2,3,7,5
2,45,2,6,1,4,4,6,1,6,3,6,2,6,3,5,1,4,1,2,1,1,1
2,47,1,7,1,2,4,7,1,5,1,3,2,5,2,1,1,5,2,4,1,1,1
2,23,5,4,5,5,5,5,6,2,6,4,3,6,4,4,5,6,4,4,3,5,4
2,26,3,3,5,5,4,4,4,5,5,4,4,4,5,5,4,3,3,4,4,5,4
2,23,5,4,4,4,4,4,3,3,5,4,4,6,4,7,3,3,4,5,3,4,5
2,41,1,5,6,6,5,1,3,2,6,6,3,3,7,7,7,6,6,6,2,1,1
2,24,5,3,3,5,5,5,4,5,5,3,5,5,4,5,3,4,3,4,5,5,4
2,37,4,5,6,5,6,6,4,6,2,5,1,6,4,1,3,5,3,4,4,4,3
2,23,6,4,3,4,2,5,6,4,6,5,4,6,3,3,4,3,3,3,3,3,3
2,29,4,5,6,5,3,4,6,6,7,5,5,4,2,7,1,7,2,5,4,5,6
2,36,2,2,4,1,6,6,2,3,2,6,2,7,4,4,6,2,6,2,2,4,2
2,28,1,6,1,1,5,5,1,5,1,5,1,1,4,4,5,3,5,5,4,4,4
2,36,2,6,1,2,5,7,1,4,1,6,1,6,2,2,2,1,4,1,2,1,3
2,28,1,6,1,1,5,5,1,6,1,6,1,5,5,4,3,4,4,4,4,4,4
2,46,1,2,1,1,1,5,7,2,1,1,7,4,1,1,1,1,7,1,1,1,1
2,30,1,6,1,1,2,7,1,5,1,2,1,6,2,5,2,2,2,1,1,1,1
2,40,1,7,1,1,1,7,1,1,1,7,1,7,1,7,1,5,7,1,1,1,1
2,51,1,6,1,1,6,7,1,6,1,7,1,7,7,1,4,1,7,1,1,1,1
2,28,1,6,1,1,6,6,1,1,1,6,1,6,4,4,4,4,5,4,4,4,4
2,59,5,6,2,2,2,4,2,6,2,2,2,3,2,2,4,2,6,2,2,1,2
2,66,1,6,1,1,6,6,1,6,1,7,1,7,1,1,1,5,1,1,1,1,1
2,37,1,7,1,1,1,7,1,7,6,7,1,7,1,6,2,6,7,6,6,6,1
2,34,1,6,1,1,5,7,1,7,7,7,1,7,2,1,2,1,3,1,3,1,1
2,28,1,7,1,1,6,6,1,6,1,6,1,7,1,1,7,4,7,4,4,1,1
2,23,5,6,1,3,4,7,1,6,5,4,2,5,4,7,2,2,4,7,1,1,1
2,48,1,7,1,1,6,7,1,7,1,7,1,7,2,3,2,1,3,1,1,2,1
2,50,1,7,1,1,1,7,1,7,4,4,1,4,1,1,4,1,1,1,1,1,1
