ID,Participant_Sex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MEQ13,MEQ14,MEQ15,MEQ16,MEQ17,MEQ18,MEQ19,MEQ20,MEQ21
1,1,2,6,5,6,6,6,4,6,4,6,3,6,3,1,3,1,3,1,4,5,6
2,1,1,4,1,1,4,6,1,6,1,6,1,5,4,4,4,1,4,4,1,1,4
3,1,2,7,1,3,5,7,1,5,1,6,1,7,3,6,3,5,6,5,5,3,2
4,1,6,7,1,4,2,7,1,7,5,6,2,6,3,5,3,5,3,5,3,2,2
5,1,2,2,3,3,6,5,1,3,6,4,3,6,3,2,6,4,3,1,2,2,2
6,1,1,6,1,1,5,7,1,7,4,7,1,6,1,4,1,4,3,4,1,1,1
7,1,4,5,3,4,5,6,3,5,5,5,3,5,3,5,3,5,4,5,3,3,2
8,1,5,6,5,5,4,7,2,6,2,7,2,7,1,6,2,5,3,6,2,1,2
9,1,3,5,3,5,4,6,3,6,5,4,4,5,3,3,3,5,3,3,3,2,2
10,1,1,6,1,6,3,6,1,1,2,5,1,5,2,3,1,1,7,3,1,1,1
11,1,4,4,4,3,4,4,4,4,4, ,4,4,4,4,4,4,4,4,4,4,4
12,1,4,5,3,2,3,6,2,4,1,4,1,5,3,1,2,4,3,1,5,2,2
13,1,2,7,2,4,6,6,3,5,2,4,2,5,4,2,5,1,6,1,2,1,2
14,1,4,3,5,3,5,3,5,5,1,3,3,7,4,3,5,3,5,5,3,4,6
15,2,2,6,2,1,5,6,1,6,2,7,2,7,2,4,3,5,6,1,6,2,2
16,2,2,6,2,1,2,7,1,4,1,6,1,6,1,4,7,5,4,4,2,2,1
17,2,1,7,1,1,6,7,1,7,1,7,1,7,2,3,2,1,3,1,1,2,1
18,2,1,5,1,5,2,6,4,6,5,7,5,6,1,6,2,1,2,6,6,3,3
19,1,1,6,4,7,6,7,2,6,1,6,6,7,1,1,2,6,3,1,2,1,1
20,1,2,7,1,5,6,7,1,5,2,6,2,7,3,5,5,2,6,3,2,2,1
21,2,1,7,1,2,4,7,1,5,1,3,2,5,2,1,1,5,2,4,1,1,1
22,1,2,5,2,2,4,6,2,5,2,4,2,4,2,6,2,6,2,6,2,1,4
23,1,2,3,2,3,2,5,2,2,2,3,6,4,6,5,3,6,5,5,5,2,5
24,1,1,5,1,1,2,5,1,3,1,1,1,4,4,1,1,1,1,1,1,1,1
25,2,1,2,1,1,1,5,7,2,1,1,7,4,1,1,1,1,7,1,1,1,1
26,2,1,6,4,5,2,7,4,4,2,5,5,2,3,5,3,4,3,2,3,1,2
27,1,2,6,2,2,4,6,2,5,2,6,2,6,2, ,2,2,2,2,2,2,2
28,1,3,6,2,5,5,6,1,6,1,6,1,6,4,5,3,5,2,5,5,2,4
29,1,5,6,3,3,2,5,2,4,2,5,6,6,3,6,4,5,4,3,2,2,2
30,2,2,6,1,4,4,6,1,6,3,6,2,6,3,5,1,4,1,2,1,1,1
31,2,2,6,2,2,2,6,2,4,2,4,2,2,6,2,6,2,6,2,2,2,2
32,2,1,7,1,3,4,7,1,5,5,5,1,6,3,4,2,6,4,3,6,5,1
33,2,1,5,1,1,1,5,1,5,1,4,1,5,3,5,3,1,3,4,4,1,1
34,2,2,6,1,1,4,6,1,3,6,3,3,6,1,2,3,5,3,2,2,1,1
35,1,1,5,6,6,6,6,2,5,1,4,4,7,5,5,5,2,6,5,5,5,4
36,1,2,5,4,4,5,6,2,6,5,6,5,6,3,2,3,2,2,2,2,2,2
37,1,3,4,2,2,3,5,3,3,3,5,3,5,3,6,3,5,3,5,4,3,4
38,2,2,6,1,1,5,7,2,6,2,4,4,5,2,4,2, ,3,1,1,1,1
39,2,1,6,2,6,4,7,2,6,2,6,1,7, ,2,7,1,5,1,1,2,1
40,2,2,7,1,1,3,6,1, ,2,5,1,6,1,2,4,5,5,1,1,1,1
41,1,1,7,1,1,4,7,1,6,2,7,1,6,7,1,3,1,7,1,1,1,1
42,1,4,4,4,7,7,7,7,7,6,7,7,7,5,7,3,4,4,1,5,1,1
43,2,4,7,1,4,1,6,1,7,1,4,1,4,1,4,4,4,4,4,5,3,4
44,2,4,5,2,4,2,6,1,5,5,4,2,4,2,1,1,2,1,1,1,1,1
45,2,2,7,2,3,2,6,3,5,2,4,5,4,2,5,2,6,7,1,1,1,1
46,2,2,6,2,2,2,6,2,5,5,4,5,5,4,4,5,3,5,7,5,3,3
47,1,2,5,2,6,4,5,3,4,4,6,4,6,3,5,2,2,6,5,3,4,1
48,1,1,4,2,2,2,4,5,2,5,7,1,7,3,4,4,6,1,4,4,5,4
49,2,1,5,6,6,5,1,3,2,6,6,3,3,7,7,7,6,6,6,2,1,1
50,2,1,5,1,1,1,7,3,3,2,6,1,6,4,3,1,6,4,3,2,1,1
51,2,1,5,1,1,4,7,1,4,3,6,1,6,7,2,7,1,7,1,1,1,1
