ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
21,0,30,0,5,14,25,1,7,4,4,4,6,4,4,4,4,5,4,6,5
23,0,30,1,1,28,1,0,0,1,2,1,5,1,1,1,2,6,1,5,6
24,0,30,0,1, ,0,0,0,1,1,1,1,1,6,6,6,6,6,7,5
25,0,25,0,2,25,2,2,3,6,6,6,7,6,7,6,5,6,5,6,6
26,0,29,0,3,19,3,2,6,6,6,6,6,2,7,4,7,7,1,7,6
27,0,24,0,6,18,8,3,12,5,6,2,7,2,6,5,6,7,5,6,5
28,0,33,0,2,18,2,1,1,6,7,5,6,5,6,5,7,6,4,6,7
29,0,35,0,3,15,3,1,6,1,1,1,7,1,7,1,1,7,1,7,1
30,0,35,1,4,14,1,1,0,1,4,1,6,1,1,1,4,4,1,1,4
32,0,34,1,55,11,160,4,25,7,7,2,4,6,7,7,7,4,3,4,4
33,0,27,0,1,22,1,1,3,5,5,5,4,5,5,5,3,6,5,5,4
34,0,32,0,5,27,1,1,8,1,2,2,6,2,2,2,3,5,2,7,2
35,0,42,0,1,30,1,1,0,4,1,4,4,4,5,1,1,7,1,7,1
36,0,49,0,10,16,20,1,2,6,5,5,5,5,6,5,5,5,4,6,6
37,0,34,0,10,17,15,1,8,7,7,4,7,4,7,6,7,7,4,5,6
38,0,28,0,3,17,4,1,0,3,2,4,5,4,1,3,2,5,3,5,6
40,0,31,0,1,27,1,1,0,5,4,4,5,5,3,2,1,1,2,1,2
41,0,33,0,3,21,3,1,25,2,5,6,7,2,2,7,6,6,2,1,6
42,0,32,1,5,18,23,19,3,6,7,4,7,5,5,6,7,6,4,6,4
43,0,29,0,1,25,1,1,2,7,1,1,4,1,1,1,5,7,1,7,7
44,0,29,0,5,18,4,2,5,7,5,3,6,3,5,4,6,4,6,4,6
45,0,70,1,23,18,12,0,0,3,3,2,6,4,5,5,2,6,3,5,2
46,0,45,0,1,24,1,1,8,1,1,1,1,1,1,1,1,6,1,6,2
47,0,32,0,3,21,1,1,7,1,7,5,5,2,6,5,5,4,2,5,6
48,0,65,1,5,17,200,3,2,5,4,1,5,2,6,4,3,4,4,4,5
49,0,36,0,30,18,5,5,3,7,6,1,1,1,5,3,6,6,7,6,7
50,0,23,0,3,17,2,1,14,5,5,5,3,5,5,5,5,4,4,5,5
52,0,32,0,7,17,12,1,15,5,5,3,6,4,2,4,6,6,4,6,4
53,0,40,0,15,18,23,1,9,3,1,1,7,1,2,2,1,5,1,5,3
54,0,51,0,7,16,7,1,0,5,7,1,5,1,7,1,7,7,1,7,7
55,0,40,1,7,25,4,0,0,4,7,1,6,1,2,2,7,7,1,7,4
56,0,34,0,10,17,18,1,2,2,2,3,5,4,4,1,2,6,1,4,6
57,0,22,1,9,14,4,0,0,2,5,5,6,2,2,6,5,5,2,6,3
58,0,45,0,20,12,25,1,12,2,6,1,6,1,5,1,7,7,1,7,5
59,0,54,1,12,15,45,2,0,5,1,5,6,5,6,5,1,5,4,5,3
60,0,66,0,6,24,13,1,5,2,4,3,6,4,5,3,4,6,2,5,4
61,0,76,1,45,18,25,0,0,5,1,6,4,5,5,5,1,4,5,4,1
62,0,59,1,9,16,14,1,0,2,1,1,5,2,4,5,2,5,5,5,2
63,0,35,0,10,15,12,1,8,1,5,1,5,1,6,2,5,5,2,5,2
64,0,46,0,7,20,10,1,4,4,4,4,4,4,4,4,4,4,4,4,4
65,0,48,0,3,20,3,1,0,1,7,1,7,1,5,3,7,4,1,4,5
66,0,36,1,5,23,2,0,0,1,5,1,4,1,2,1,5,4,1,3,3
67,0,37,0,2,21,2,2,10,6,6,7,5,6,7,6,6,7,3,6,7
68,0,28,0,6,18,4,1,1,7,5,2,4,2,6,2,6,7,2,7,7
69,0,53,0,1,19,1,1,5,1,2,1,1,1,1,1,1,4,1,4,1
72,0,29,0,2,28,1,1,1,6,7,5,6,7,5,6,7,5,6,5,6
73,0,35,0,6,16,12,1,2,2,7,1,6,7,5,2,7,5,1,6,7
74,0,69,0,5,18,3,1,2,1,1,1,5,1,5,1,1,7,2,7,5
75,0,30,0,20,16,20,1,15,1,1,1,5,1,1,1,1,6,1,7,1
76,0,30,0,5,16,16,1,10,2,6,2,6,2,6,5,6,7,4,6,6
77,0,25,0,4,19,2,1,2,6,6,5,6,5,4,6,3,4,5,5,2
78,0,34,1,2,21,2,0,0,3,6,2,3,3,3,2,5,4,2,4,2
79,0,27,0,4,18,10,2,15,6,7,1,7,1,6,7,7,7,4,7,7
80,0,63,0,10,19,15,1,12,2,4,2,6,2,5,6,6,7,2,7,7
81,0,33,0,3,17,3,1,4,4,3,2,2,4,4,2,1,4,5,5,3
82,0,38,0,5,32,1,1,5,3,4,2,6,4,4,5,4,4,5,4,3
83,0,38,0,5,21,5,1,1,3,5,3,5,3,5,5,5,5,5,5,5
84,0,36,0,4,21,4,1,20,1,1,1,7,1,1,1,1,7,1,7,1
86,0,51,0,15,15,20,1,6,2,5,2,7,2,3,3,5,6,3,6,5
87,0,45,0,16,17,16,1,0,1,3,1,5,1,4,1,2,7,1,6,1
88,0,27,0,2,16,1,2,1,4,5,5,3,3,6,3,6,3,5,3,6
89,0,36,0,10,15,50,3,20,1,5,1,6,1,1,4,5,7,1,7,5
90,0,61,0,1,23,1,1,0,4,6,1,3,1,4,1,4,5,1,4,3
91,0,26,0,3,18,5,1,4,5,7,7,6,6,5,4,7,6,6,7,7
92,0,34,0,5,16,20,0,0,4,7,1,7,1,1,1,7,7,1,7,4
93,0,31,0,1,21,1,1,6,1,2,1,6,1,1,1,1,7,1,7,4
94,0,32,0,3,18,3,1,5,2,2,1,3,2,2,1,2,2,1,1,3
96,0,76,1,4,14,20,0,0,2,2,2,6,2,3,3,2,4,2,4,1
97,0,67,0,20,17,12,1,2,1,6,1,6,1,1,1,6,6,1,6,6
98,0,25,0,3, ,0,0,0,1,5,1,4,1,1,1,2,5,1,6,5
99,0,32,1,5,15,4,1,0,2,6,4,6,4,2,2,6,6,6,7,6
100,0,48,0,11,15, ,1,12,1,7,1,7,1,7,4,7,6,1,7,4
101,0,33,0,8,14,26,1,20,1,1,1,7,1,1,3,1,5,3,6,3
102,0,49,0,6,21,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5
103,0,33,0,15,15,9,1,25,1,2,1,5,1,2,1,4,6,1,5,5
104,0,27,0,3,19,2,1,3,1,4,5,6,1,2,4,4,6,1,6,2
106,0,29,0,5,15,5,1,30,6,6,6,7,5,3,3,4,5,5,5,4
