ParticipantID	SEX	ParticipantAge	MEQ1	MEQ2	MEQ3	MEQ4	MEQ5	MEQ6	MEQ7	MEQ8	MEQ9	MEQ10	MEQ11	MEQ12
61	0	76	5	1	6	4	5	5	5	1	4	5	4	1
96	0	76	2	2	2	6	2	3	3	2	4	2	4	1
362	0	71	6	7	6	7	7	6	2	7	6	6	6	7
45	0	70	3	3	2	6	4	5	5	2	6	3	5	2
74	0	69	1	1	1	5	1	5	1	1	7	2	7	5
97	0	67	1	6	1	6	1	1	1	6	6	1	6	6
60	0	66	2	4	3	6	4	5	3	4	6	2	5	4
340	0	66	2	4	1	5	1	1	4	4	7	1	7	5
160	1	65	1	1	1	1	1	1	1	1	7	1	7	1
48	0	65	5	4	1	5	2	6	4	3	4	4	4	5
80	0	63	2	4	2	6	2	5	6	6	7	2	7	7
166	1	62	6	4	4	5	4	2	6	4	6	4	6	6
343	0	62	2	2	1	5	1	2	2	2	4	2	4	2
394	0	62	3	1	2	5	1	1	1	1	7	1	7	4
90	0	61	4	6	1	3	1	4	1	4	5	1	4	3
62	0	59	2	1	1	5	2	4	5	2	5	5	5	2
120	0	57	6	7	2	3	5	6	2	7	5	1	7	5
387	0	57	4	6	4	6	3	3	4	6	6	4	6	6
370	0	56	5	2	5	5	2	2	3	2	6	2	6	2
59	0	54	5	1	5	6	5	6	5	1	5	4	5	3
69	0	53	1	2	1	1	1	1	1	1	4	1	4	1
346	0	53	5	5	5	4	7	6	2	6	5	2	4	6
54	0	51	5	7	1	5	1	7	1	7	7	1	7	7
86	0	51	2	5	2	7	2	3	3	5	6	3	6	5
334	0	50	5	6	5	5	3	5	5	5	4	5	4	5
175	1	49	4	7	1	7	1	3	2	4	7	2	7	6
196	1	49	3	2	3	5	3	2	3	3	5	4	7	5
102	0	49	6	5	4	5	4	5	4	5	4	5	4	5
36	0	49	6	5	5	5	5	6	5	5	5	4	6	6
112	0	49	2	7	1	7	1	6	1	7	4	1	4	2
375	0	49	1	6	2	7	2	3	5	6	6	4	6	7
203	1	48	1	1	1	7	1	1	1	1	7	1	7	3
205	1	48	2	5	1	6	1	2	1	5	6	1	4	4
206	1	48	1	6	1	5	1	3	4	6	5	2	3	2
