Participant_ID,Participant_Sex,Participant_Age,Participant_Ethnicity_1,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
38,1,28,1,3,2,4,5,4,1,3,2,5,3,5,6
40,1,31,3,5,4,4,5,5,3,2,1,1,2,1,2
44,1,29,3,7,5,3,6,3,5,4,6,4,6,4,6
49,1,36,8,7,6,1,1,1,5,3,6,6,7,6,7
50,1,23,2,5,5,5,3,5,5,5,5,4,4,5,5
51,1,27,3,4,3,2,3,2,3,3,3,2,3,3,2
67,1,37,3,6,6,7,5,6,7,6,6,7,3,6,7
72,1,29,2,6,7,5,6,7,5,6,7,5,6,5,6
92,1,34,1,4,7,1,7,1,1,1,7,7,1,7,4
102,1,49,1,6,5,4,5,4,5,4,5,4,5,4,5
106,1,29,1,6,6,6,7,5,3,3,4,5,5,5,4
123,2,24,3,6,4,5,3,4,5,3,5,6,4,2,4
132,2,24,1,7,4,5,5,4,4,4,4,5,4,5,5
161,2,29,2,6,6,5,6,6,6,5,7,6,5,6,7
181,2,27,2,6,5,5,6,4,5,6,4,7,5,5,6
200,2,31,2,6,5,7,6,5,6,5,7,6,7,7,5
215,2,58,1,2,5,4,4,4,4,4,4,4,4,4,4
217,2,28,3,7,6,6,7,6,7,6,5,6,5,6,6
224,2,43,2,5,4,4,5,4,4,3,4,5,5,5,4
236,2,27,2,5,5,3,4,5,5,2,6,5,6,6,7
241,2,27,1,6,6,4,6,5,5,5,5,4,5,5,4
257,2,31,3,4,5,4,3,3,5,4,5,4,3,2,4
263,2,56,1,5,4,4,6,3,6,1,6,5,3,5,6
272,2,29,3,3,6,5,5,5,2,4,3,3,5,5,6
275,2,29,3,6,3,5,6,4,3,6,7,6,5,3,5
279,2,44,6,1,1,1,1,2,1,1,1,4,1,4,1
288,2,28,1,1,3,1,7,1,2,1,2,3,1,3,1
310,1,26,1,7,2,5,7,2,4,5,7,2,4,3,6
311,1,29,7,5,4,4,5,4,6,5,4,4,3,4,4
313,1,33,1,1,4,4,5,4,4,2,4,5,5,5,6
319,1,35,1,2,1,2,6,2,7,7,4,1,6,2,1
325,1,25,3,6,6,7,5,4,7,5,4,6,7,4,6
327,1,28,3,5,4,5,3,4,5,6,3,3,3,4,4
344,1,30,3,5,3,5,5,3,3,4,5,4,3,3,5
356,1,37,2,5,6,5,4,6,5,4,5,6,5,6,4
367,1,28,2,3,6,5,5,5,6,6,5,4,4,3,4
376,1,28,2,5,5,5,5,3,4,5,5,3,5,3,6
379,1,27,6,1,1,4,7,4,2,4,4,4,4,2,2
384,1,29,6,6,5,4,7,6,4,6,5,3,5,5,3
28,1,33,3,6,7,5,6,5,6,5,7,6,4,6,7
30,1,35,3,1,4,1,6,1,1,1,4,4,1,1,4
33,1,27,3,5,5,5,4,5,5,5,3,6,5,5,4
35,1,42,3,4,1,4,4,4,5,1,1,7,1,7,1
110,1,29,3,6,4,3,6,7,6,4,7,6,4,7,5
115,1,36,1,7,6,7,6,6,5,7,4,7,5,7,4
122,2,26,3,5,3,4,6,5,6,7,3,7,4,6,7
129,2,41,1,4,4,3,6,2,3,6,4,6,2,6,5
140,2,44,1,1,1,1,6,1,1,1,1,7,1,6,1
145,2,29,3,6,3,5,3,4,5,1,5,2,3,3,4
183,2,58,1,1,5,1,6,1,1,1,5,7,1,7,7
197,2,41,1,2,2,2,6,2,2,4,3,6,3,6,3
249,2,66,1,1,7,1,4,1,1,1,7,4,4,7,1
306,1,38,3,6,6,6,5,5,6,4,5,4,5,5,6
315,1,29,3,1,3,5,3,5,3,7,5,3,5,4,6
317,1,29,3,5,5,4,5,3,4,5,5,6,3,5,5
330,1,25,2,4,5,6,5,5,4,5,5,4,5,4,5
332,1,34,1,3,5,3,6,3,3,3,4,5,3,4,3
333,1,29,3,5,4,5,4,3,4,5,4,3,4,5,4
348,1,47,2,5,4,3,4,3,2,2,2,5,2,6,2
351,1,30,3,5,4,4,5,5,3,5,6,6,5,5,5
352,1,33,3,6,7,5,4,6,7,4,7,4,6,7,5
370,1,56,1,5,2,5,5,2,2,3,2,6,2,6,2
372,1,28,3,5,3,5,3,4,2,3,4,3,4,3,4
377,1,28,3,1,5,1,4,1,1,1,5,7,1,4,5
21,1,30,2,4,4,4,6,4,4,4,4,5,4,6,5
22,1,30,3,7,5,2,7,2,2,2,6,5,3,6,6
23,1,30,1,1,2,1,5,1,1,1,2,6,1,5,6
24,1,30,3,1,1,1,1,1,6,6,6,6,6,7,5
25,1,25,3,6,6,6,7,6,7,6,5,6,5,6,6
26,1,29,3,6,6,6,6,2,7,4,7,7,1,7,6
27,1,24,2,5,6,2,7,2,6,5,6,7,5,6,5
29,1,35,1,1,1,1,7,1,7,1,1,7,1,7,1
31,1,22,1,3,3,3,6,3,2,5,4,2,6, ,5
32,1,34,1,7,7,2,4,6,7,7,7,4,3,4,4
34,1,32,4,1,2,2,6,2,2,2,3,5,2,7,2
36,1,49,1,6,5,5,5,5,6,5,5,5,4,6,6
37,1,34,1,7,7,4,7,4,7,6,7,7,4,5,6
39,1,26,3,4,5,4,6,5,6,4,6,6,5,6,6
41,1,33,3,2,5,6,7,2,2,7,6,6,2,1,6
42,1,32,1,6,7,4,7,5,5,6,7,6,4,6,4
43,1,29,3,7,1,1,4,1,1,1,5,7,1,7,7
45,1,70,1,3,3,2,6,4,5,5,2,6,3,5,2
46,1,45,3,1,1,1,1,1,1,1,1,6,1,6,2
47,1,32,1,1,7,5,5,2,6,5,5,4,2,5,6
48,1,65,1,5,4,1,5,2,6,4,3,4,4,4,5
52,1,32,1,5,5,3,6,4,2,4,6,6,4,6,4
53,1,40,1,3,1,1,7,1,2,2,1,5,1,5,3
54,1,51,1,5,7,1,5,1,7,1,7,7,1,7,7
55,1,40,1,4,7,1,6,1,2,2,7,7,1,7,4
56,1,34,1,2,2,3,5,4,4,1,2,6,1,4,6
57,1,22,6,2,5,5,6,2,2,6,5,5,2,6,3
58,1,45,1,2,6,1,6,1,5,1,7,7,1,7,5
59,1,54,1,5,1,5,6,5,6,5,1,5,4,5,3
60,1,66,2,2,4,3,6,4,5,3,4,6,2,5,4
61,1,76,1,5,1,6,4,5,5,5,1,4,5,4,1
62,1,59,1,2,1,1,5,2,4,5,2,5,5,5,2
63,1,35,4,1,5,1,5,1,6,2,5,5,2,5,2
64,1,46,1,4,4,4,4,4,4,4,4,4,4,4,4
65,1,48,1,1,7,1,7,1,5,3,7,4,1,4,5
66,1,36,1,1,5,1,4,1,2,1,5,4,1,3,3
68,1,28,1,7,5,2,4,2,6,2,6,7,2,7,7
69,1,53,1,1,2,1,1,1,1,1,1,4,1,4,1
73,1,35,1,2,7,1,6,7,5,2,7,5,1,6,7
74,1,69,1,1,1,1,5,1,5,1,1,7,2,7,5
75,1,30,1,1,1,1,5,1,1,1,1,6,1,7,1
76,1,30,1,2,6,2,6,2,6,5,6,7,4,6,6
77,1,25,3,6,6,5,6,5,4,6,3,4,5,5,2
78,1,34,2,3,6,2,3,3,3,2,5,4,2,4,2
79,1,27,3,6,7,1,7,1,6,7,7,7,4,7,7
80,1,63,1,2,4,2,6,2,5,6,6,7,2,7,7
81,1,33,6,4,3,2,2,4,4,2,1,4,5,5,3
82,1,38,3,3,4,2,6,4,4,5,4,4,5,4,3
83,1,38,3,3,5,3,5,3,5,5,5,5,5,5,5
84,1,36,1,1,1,1,7,1,1,1,1,7,1,7,1
85,1,25,3,5,5,5,6,6,6,5,5,5,6,6,5
86,1,51,1,2,5,2,7,2,3,3,5,6,3,6,5
87,1,45,1,1,3,1,5,1,4,1,2,7,1,6,1
88,1,27,1,4,5,5,3,3,6,3,6,3,5,3,6
89,1,36,1,1,5,1,6,1,1,4,5,7,1,7,5
90,1,61,1,4,6,1,3,1,4,1,4,5,1,4,3
91,1,26,1,5,7,7,6,6,5,4,7,6,6,7,7
93,1,31,1,1,2,1,6,1,1,1,1,7,1,7,4
94,1,32,2,2,2,1,3,2,2,1,2,2,1,1,3
96,1,76,1,2,2,2,6,2,3,3,2,4,2,4,1
97,1,67,1,1,6,1,6,1,1,1,6,6,1,6,6
98,1,25,5,1,5,1,4,1,1,1,2,5,1,6,5
99,1,32,1,2,6,4,6,4,2,2,6,6,6,7,6
100,1,48,1,1,7,1,7,1,7,4,7,6,1,7,4
101,1,33,6,1,1,1,7,1,1,3,1,5,3,6,3
103,1,33,1,1,2,1,5,1,2,1,4,6,1,5,5
104,1,27,1,1,4,5,6,1,2,4,4,6,1,6,2
107,1,36,1,1,1,1,1,1,1,1,1,1,1,1,1
108,1,28,3,6,6,2,5,2,2,2,2,2,2,3,5
109,1,25,1,1,2,1,5,1,1,1,2,7,1,7,3
111,1,25,3,6,5,4,5,5,6,4,5,5,5,6,5
112,1,49,1,2,7,1,7,1,6,1,7,4,1,4,2
113,1,28,3,5,2,5,6,6,7,6,6,4,5,2,3
114,1,36,8,5,3,3,6,6,6,5,5,5,5,5,6
116,1,30,3,6,4,6,7,6,5,6,5,5,3,4,6
117,1,28,6,5,6,5,6,7,7,7,5,7,6,6,4
118,1,30,3,5,6,5,6,5,5,6,5,6,5,6,5
119,1,38,1,4,2,4,6,3,4,2,2,4,2,5,3
120,1,57,1,6,7,2,3,5,6,2,7,5,1,7,5
121,1,26,1,6,7,7,7,4,7,6,7,7,5,7,6
124,2,42,1,1,6,1,4,1,1,4,6,4,1,4,6
125,2,40,1,1,6,2,5,2,2,2,6,6,2,6,6
126,2,44,2,2,2,2,7,2,2,1,2,6,1,6,2
127,2,25,2,5,2,5,6,4,6,5,5,4,6,4,5
128,2,25,1,4,6,5,5,4,6,3,5,7,1,7,7
131,2,29,3,1,1,1,7,1,2,4,1,7,2,7,1
133,2,33,1,3,5,2,5,3,3,2,5,4,2,4,5
134,2,39,8,2,5,2,7,2,5,3,5,6,2,4,5
135,2,43,1,3,1,1,6,2,1,4,1,6,3,6,1
136,2,28,1,1,5,1,4,1,1,1,4,5,1,6,4
137,2,39,1,2,5,3,6,5,6,2,5,3,5,3,5
138,2,27,1,2,5,1,7,1,1,1,7,7,1,7,5
139,2,50,1,1,1,1,3,1,1,1,1,7,1,7,7
141,2,27,1,2,3,4,4,4,4,3,4,3,4,3,4
142,2,52,1,7,7,6,7,4,7,6,7,6,3,7,7
143,2,27,1,4,5,5,5,5,4,4,4,4,4,4,4
144,2,32,8,1,7,1,7,1,1,7,7,7,7,7,7
146,2,57,1,1,7,1,5,1,1,1,7,7,1,7,6
147,2,42,1,3,5,1,7,1,2,2,4,6,2,6,2
148,2,63,1,1,1,1,5,1,1,1,1,4,1,5,5
149,2,38,1,2,5,1,5,1,1,1,7,4,1,3,6
150,2,33,1,5,2,2,3,2,1,5,2,6,2,6,1
151,2,33,1,1,7,4,7,1,1,1,7,7,1,7,7
152,2,36,1,2,5,5,6,6,2,2,6,6,6,6,6
153,2,36,1,1,5,1,5,1,1,1,5,4,1,4,4
154,2,29,3,7,1,6,6,6,7,7,6,7,7,7,7
155,2,33,1,6,4,5,7,5,3,5,5,7,3,7,3
156,2,44,1,6,6,2,5,2,5,6,6,7,4,7,6
157,2,42,1,6,1,2,6,3,1,2,1,6,2,4,2
158,2,59,1,1,6,1,6,1,4,1,7,7,1,7,6
159,2,35,1,2,4,2,6,2,2,2,4,4,2,4,4
160,2,65,1,1,1,1,1,1,1,1,1,7,1,7,1
162,2,40,1,5,5,1,7,1,7,2,5,7,2,7,2
163,2,31,1,3,5,1,3,1,1,1,5,5,1,4,5
164,2,55,1,1,4,1,1,1,3,1,6,4,1,1,1
165,2,56,1,1,7,3,7,1,1,1,6,6,1,7,6
166,2,62,1,6,4,4,5,4,2,6,4,6,4,6,6
167,2,29,3,1,2,7,1,7,2,1,1,7,1,7,1
168,2,32,1,2,5,6,5,5,1,1,5,5,5,6,6
169,2,26,2,7,7,7,7,7,7,7,7,7,7,7,7
170,2,53,1,1,1,1,5,1,3,4,1,6,1,6,3
171,2,39,1,2,6,2,6,2,5,2,7,6,2,6,7
172,2,27,1,2,6,2,6,2,3,2,6,6,2,7,6
173,2,59,1,2,7,3,6,3,3,3,7,5,5,5,5
174,2,21,1, , , , , , , , , , , , 
175,2,49,1,4,7,1,7,1,3,2,4,7,2,7,6
176,2,27,6,4,2,3,3,3,3,2,2,5,2,5,3
177,2,66,1,1,4,1,5,1,2,1,6,6,1,6,6
178,2,41,1,2,5,1,6,1,1,2,4,6,2,6,5
179,2,33,1,2,7,1,6,1,6,1,7,6,1,7,3
