ParticipantID,SEX,ParticipantAge,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
38,0,28,3,3,3,2,4,5,4,1,3,2,5,3,5,6,5,4,7,4,3,3,6,7,8,3,5,5,3,4,6,6,4,3,5,3,3,3,4,4,5,4,6,4,5
40,0,31,5,2,3,4,4,5,5,3,2,1,1,2,1,2,6,6,7,7,4,5,2,3,4,5,4,5,5,4,5,5,6,6,6,5,6,5,5,6,5,5,4,5,5
44,0,29,7,3,3,5,3,6,3,5,4,6,4,6,4,6,5,3,4,4,5,4,5,7,5,6,6,5,7,4,6,6,5,7,5,5,6,6,5,7,6,5,6,7,6
49,0,36,7,2,1,6,1,1,1,5,3,6,6,7,6,7,2,2,3,6,6,3,4,3,4,5,4,3,3,2,2,7,7,6,6,6,6,5,6,5,6,5,5,6,2
50,0,23,5,2,5,5,5,3,5,5,5,5,4,4,5,5,4,6,7,6,5,5,6,7,6,5,5,6,3,6,5,5,5,5,3,3,6,5,4,4,5,5,4,4,5
51,0,27,4,4,5,3,2,3,2,3,3,3,2,3,3,2,6,8,6,5,4,6,3,2,2,5,5,6,4,7,4,5,5,6,7,5,5,4,6,6,6,5,2,3,5
67,0,37,6,6,4,6,7,5,6,7,6,6,7,3,6,7,5,7,7,3,8,6, ,5,6,6,5,5,6,7,5,6,6,3,5,5,6,6,4,3,6,7,7,5,6
72,0,29,6,3,2,7,5,6,7,5,6,7,5,6,5,6,7,8,7,8,7,8,8,9,7,6,5,6,4,5,4,5,6,5,7,5,6,5,6,7,6,5,6,6,7
92,0,34,4,1,1,7,1,7,1,1,1,7,7,1,7,4,3,6,8,9,9,1,7,5,7,2,6,6,6,6,6,2,3,4,7,2,1,4,4,3,6,6,6,2,1
102,0,49,6,3,4,5,4,5,4,5,4,5,4,5,4,5,2,2,2,5,4,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5
106,0,29,6,3,3,6,6,7,5,3,3,4,5,5,5,4,6,2,2,1,3,7,5,6,7,4,5,5,3,4,4,5,5,6,6,5,6,5,5,4,4,6,7,5,5
123,1,24,6,3,5,4,5,3,4,5,3,5,6,4,2,4,6,4,2,3,4,6,8,4,5,6,4,3,4,5,6,5,3,4,5,6,5,3,4,5,4,6,5,3,4
132,1,24,7,1,3,4,5,5,4,4,4,4,5,4,5,5,8,6,6,7,5,5,8,7,6,6,6,5,4,6,5,6,4,6,7,5,7,7,5,6,6,6,5,7,5
161,1,29,6,3,1,6,5,6,6,6,5,7,6,5,6,7,7,5,6,6,7,9,7,6,7,6,5,7,6,5,6,7,7,5,6,6,5,7,6,5,6,7,6,5,6
181,1,27,6,3,4,5,5,6,4,5,6,4,7,5,5,6,6,7,7,7,6,6,7,6,6,5,5,4,4,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4
200,1,31,6,3,2,5,7,6,5,6,5,7,6,7,7,5,8,7,8,8,8,9,8,7,9,6,6,6,4,7,6,6,5,7,6,6,6,7,5,7,6,6,5,5,6
215,1,58,2,4,3,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,3,3,3,3,4
217,1,28,7,2,1,6,6,7,6,7,6,5,6,5,6,6,8,6,7,8,5,8,8,6,7,7,6,7,6,7,7,6,6,6,7,7,6,7,6,6,7,7,6,6,7
224,1,43,5,4,4,4,4,5,4,4,3,4,5,5,5,4,8,7,8,7,6,6,6,7,6,5,4,3,4,4,4,4,3,4,4,4,3,4,5,4,4,4,3,4,5
236,1,27,5,6,2,5,3,4,5,5,2,6,5,6,6,7,5,7,5,7,5,8,6,3,6,5,4,6,6,5,7,6,4,6,6,6,5,7,6,4,6,7,5,6,6
241,1,27,6,1,3,6,4,6,5,5,5,5,4,5,5,4,8,7,9,7,5,8,6,7,7,6,4,4,4,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5
257,1,31,4,5,6,5,4,3,3,5,4,5,4,3,2,4,5,4,3,1,2,2,4,3,6,5,4,3,5,6,5,4,5,4,3,5,6,5,4,3,6,5,5,6,4
263,1,56,5,6,2,4,4,6,3,6,1,6,5,3,5,6,4,6,6,7,6,8,7,3,6,6,3,5,3,5,4,6,5,3,5,5,4,5,6,3,5,3,5,3,5
272,1,29,3,3,2,6,5,5,5,2,4,3,3,5,5,6,2,2,3,3,4,5,4,6,5,5,6,6,6,5,5,4,5,6,5,5,6,6,5,6,6,7,6,5,5
275,1,29,6,1,3,3,5,6,4,3,6,7,6,5,3,5,6,9,7,6,8,4,7,9,5,6,7,4,3,4,5,5,4,3,5,6,5,2,5,7,5,5,3,5,6
279,1,44,1,3,2,1,1,1,2,1,1,1,4,1,4,1,1,2,1,1,1,8,2,3,1,5,5,6,6,6,4,7,5,4,4,4,4,7,5,7,5,5,5,4,7
288,1,28,1,7,3,3,1,7,1,2,1,2,3,1,3,1,2,4,4,8,2,8,2,3,2,5,6,3,6,3,7,1,7,6,3,1,7,3,2,2,1,1,1,1,1
310,0,26,7,6,4,2,5,7,2,4,5,7,2,4,3,6,5,3,4,8,1,3,5,7,3,5,7,3,5,2,4,4,7,6,3,4,6,7,3,4,7,3,4,3,6
311,0,29,5,3,4,4,4,5,4,6,5,4,4,3,4,4,4,7,6,7,7,6,7,8,6,6,7,5,6,5,5,4,6,6,5,6,5,4,4,6,5,3,5,6,4
313,0,33,1,6,5,4,4,5,4,4,2,4,5,5,5,6,6,5,4,6,5,5,5,5,7,4,3,2,4,5,5,4,3,4,5,4,3,4,3,4,4,4,4,4,4
319,0,35,2,1,7,1,2,6,2,7,7,4,1,6,2,1,7,1,2,3,5,4,3,6,1,2,5,2,5,3,6,3,6,2,7,3,6,7,3,4,3,6,2,3,2
325,0,25,6,3,4,6,7,5,4,7,5,4,6,7,4,6,7,5,8,6,8,7,8,5,8,5,7,5,4,6,7,5,4,6,5,6,5,4,6,7,6,4,6,5,7
327,0,28,5,3,5,4,5,3,4,5,6,3,3,3,4,4,7,6,7,6,8,5,6,6,5,5,6,6,6,7,5,4,4,6,5,1,7,6,5,6,5,6,5,6,6
344,0,30,5,4,5,3,5,5,3,3,4,5,4,3,3,5,6,5,4,4,5,6,7,5,4,6,5,4,3,4,5,5,4,3,4,5,4,3,4,5,4,3,4,5,4
356,0,37,5,4,3,6,5,4,6,5,4,5,6,5,6,4,2,2,3,1,4,3,7,4,5,6,7,6,5,6,7,6,5,6,7,6,7,6,5,6,7,6,5,5,6
367,0,28,3,3,3,6,5,5,5,6,6,5,4,4,3,4,7,7,8,3,3,4,5,6,7,3,5,3,2,2,2,1,2,2,1,2,3,3,1,2,1,2,1,1,1
376,0,28,5,6,4,5,5,5,3,4,5,5,3,5,3,6,6,4,4,6,4,5,6,4,6,6,4,5,5,4,5,3,5,6,4,6,4,4,5,3,5,3,3,5,4
379,0,27,1,7,1,1,4,7,4,2,4,4,4,4,2,2,2,1,3,9,9,1,4,3,5,5,6,6,7,7,1,7,1,4,7,7,1,7,7,7,6,6,6,4,4
384,0,29,6,4,4,5,4,7,6,4,6,5,3,5,5,3,4,2,3,8,6,6,6,8, ,6,5,4,7,6,6,4,6,5,7,6,4,5,2,6,5,5,7,6,6
28,0,33,6,2,1,7,5,6,5,6,5,7,6,4,6,7,3,2,2,9,7,8,6,8,7,5,6,7,6,6,1,6,7,6,6,6,5,6,6,7,6,6,5,7,6
30,0,35,1,4,4,4,1,6,1,1,1,4,4,1,1,4,1,4,1,9,9,1,9,7,9,4,6,5,4,5,6,6,4,4,6,4,2,5,6,6,6,6,6,6,4
33,0,27,5,2,5,5,5,4,5,5,5,3,6,5,5,4,3,3,2,1,2,4,1,2,1,5,5,5,6,5,4,6,5,5,6,5,5,6,4,6,6,5,5,4,6
35,0,42,4,3,7,1,4,4,4,5,1,1,7,1,7,1,1,1,1,1,1,7,4,2,2,5,5,2,5,7,5,5,6,5,5,5,5,6,5,5,5,4,4,5,4
110,0,29,6,4,2,4,3,6,7,6,4,7,6,4,7,5,1,1,1,5,3,2,4,2,4,6,5,7,4,6,1,4,6,4,7,6,4,7,6,4,3,6,5,4,6
115,0,36,7,6,1,6,7,6,6,5,7,4,7,5,7,4,1,5,5,4,5,2,2,2,4,5,6,3,6,4,6,4,7,6,5,6,5,5,6,4,5,4,6,4,5
122,1,26,5,5,3,3,4,6,5,6,7,3,7,4,6,7,3,3,2,8,6,7,5,7,6,6,5,6,6,5,3,6,6,7,7,7,5,7,5,4,6,6,7,5,4
129,1,41,4,1,2,4,3,6,2,3,6,4,6,2,6,5,2,1,2,1,1,7,1,2,1,4,6,7,6,7,7,7,7,4,5,7,6,7,7,7,5,5,5,5,7
140,1,44,1,7,3,1,1,6,1,1,1,1,7,1,6,1,1,1,1,1,1,1,1,1,1,5,6,6,6,2,7,7,7,1,6,1,7,5,5,5,7,7,7,5,1
145,1,29,6,4,5,3,5,3,4,5,1,5,2,3,3,4,2,1,1,3,2,2,5,4,3,6,6,6,6,7,7,6,3,5,4,7,5,6,5,4,6,5,5,3,6
183,1,58,1,7,1,5,1,6,1,1,1,5,7,1,7,7,2,9,9,1,1,9,2,2,2,7,7,7,7,7,3,2,4,4,7,1,7,1,1,7,7,7,7,7,7
197,1,41,2,2,2,2,2,6,2,2,4,3,6,3,6,3,3,1,6,5,5,5,3,3,3,6,6,7,6,6,3,6,6,4,6,5,5,7,7,7,7,7,7,7,4
249,1,66,1,7,1,7,1,4,1,1,1,7,4,4,7,1,2,2,1,7,7,1,2,2,2,6,6,7,7,7,7,7,6,7,7,7,5,7,7,7,7,7,7,7,7
306,0,38,6,2,3,6,6,5,5,6,4,5,4,5,5,6,1,1,1,1,1,2,2,2,2,4,5,5,6,4,5,4,5,4,6,6,5,5,5,5,4,6,6,5,4
315,0,29,1,4,2,3,5,3,5,3,7,5,3,5,4,6,3,7,5,6,8,4,4,8,6,2,6,3,6,5,7,5,7,3,5,3,6,4,5,7,6,3,4,6,5
