Participant_ID,SEX,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Primarily_Attracted,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,SEXUALACTIVE,SEXPARTYEAR,Orientation,GenHealth1,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11_rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS25,CMVS24_rc,CMVS25_rc,CMVS26_rc,VIEWS_OPPOSITE,SOCIALITY,PARENTING,WEALTH_OLD,WEALTH_NEW,LOOKS_OLD,LOOKS_NEW,RELATIONSHIP_HISTORY_OLD,RELATIONSHIP_HISTORY_NEW,FEAR_FAILURE_OLD,FEAR_FAILURE_NEW,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6_rc,SOIR7,SOIR8,SOIR9,SOIBEHAVIOR,SOIATTITUDE,SOIDESIRE,SOITOTAL,SDQ1,SDQ2,SDQ3,SDQ4,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,BFFB1,BFFB2_rc,BFFB3,BFFB4,BFFB5,BFFB6_rc,BFFB7,BFFB8_rc,BFFB9_rc,BFFB10,BFFB11,BFFB12_rc,BFFB13,BFFB14,BFFB15,BFFB16,BFFB17,BFFB18_rc,BFFB19,BFFB20,BFFB21_rc,BFFB22,BFFB23_rc,BFFB24_rc,BFFB25,BFFB26,BFFB27_rc,BFFB28,BFFB29,BFFB30,BFFB31_rc,BFFB32,BFFB33,BFFB34_rc,BFFB35_rc,BFFB36,BFFB37_rc,BFFB38,BFFB39,BFFB40,BFFB41_rc,BFFB42,BFFB43_rc,BFFB44,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,IPC1,IPC2,IPC3,IPC4,IPC5,IPC6,IPC7,IPC8,IPC9,IPC10,IPC11,IPC12,IPC13,IPC14,IPC15,IPC16,IPC17,IPC18,IPC19,IPC20,MEANIPC
38,0,28,1, , ,2,1,1,5,8,9,3,1,17,2,4,1,0,11,.363636363636364,1,3,3,5,5,2,4,5,4,1,3,2,5,3,5,6,3,6,5,2,4,5,3,3,6,3,5,2,3,5,2,2,5,6,4,4,3,6,3,5,1,4,2,2, ,4,4,2,3,5,5,3,6,5,1,3.83333333333333,4,3.33333333333333,2, ,4,3.33333333333333,4,4.33333333333333,5.5,4,5,4,7,4,3,7,6,7,8, , , , ,2,4,5,5,-2.11438963978465,.538352118707369,1.74956561300156,.504442937912773,2,3,1,3,3,4,4,4,4,5,4,4,1,5,1,3,2,2,3,3,4,4,3,5,5,2,3,5,3,2,1,2,4,3,2,1,3,4,1,5,3,4,4,2,2.625,3.22222222222222,3.11111111111111,2.375,3.1,4,2,4,6,4,7,5,2,5,4,2,2,3,3,3,6,3,4,5,3,3.85
40,0,31,3, , ,4,2,1,5,11,1,1,1,27,2,1,1,0,4,.25,1,4,5,6,5,4,4,5,5,3,2,1,1,2,1,2,5,6,5,5,6,5,5,5,5,4,5,5,4,3,4,4,5,1, ,1,1,2,5,4,3,4,4,3,3,2,2,3,2,3,4,4,4,4,6,3.5, ,3.66666666666667,3.5,3.33333333333333,2,2.33333333333333,2.5,3,4,4.66666666666667,6,6,7,7,4,5,2,3,4, , , , ,5,4,4,6,.394169620347785,.538352118707369,.964833977758214,1.26317473387174,4,2,4,4,5,2,5,3,3,4,5,2,5,3,4,3,4,4,2,3,2,3,4,3,4,3,4,4,4,3,3,4,4,2,2,3,2,4,4,3,3,4,2,3,3.125,3.33333333333333,3.77777777777778,2.25,3.4,3,5,5,4,5,5,4,3,3,4,5,3,3,3,3,5,5,5,4,5,4.1
44,0,29,3, , ,4,4,1,3,9,5,5,1,18,2,4,2,5,11,.363636363636364,1,5,7,5,5,5,3,6,3,5,4,6,4,6,4,6,3,5,4,4,3,5,6,4,3,5,5,3,6,5,4,5,5,6,5,4,5,5,4,5,5,6,5,4,5,6,5,4,6,4,6,4,3,4,2,5.16666666666667,4.6,5.33333333333333,4.5,4.66666666666667,5.5,5,5,5.33333333333333,3.5,3,5,3,4,4,5,6,5,7,5, , , , ,5,4,4,4,.394169620347785,.538352118707369,.964833977758214,-.254288858046192,4,3,4,5,4,2,4,2,2,4,5,3,4,2,3,4,4,3,3,3,3,4,3,2,2,4,4,3,3,4,2,3,4,4,2,4,3,4,4,4,3,3,2,2,3.5,3.44444444444444,3.22222222222222,2.5,3.1,5,6,4,6,5,6,6,4,3,5,4,6,6,5,7,6,4,6,6,5,5.25
49,0,36,8, , ,4,4,1,4,10,8,30,1,18,2,5,5,3,18,.277777777777778,1,3,7,6,7,6,1,1,1,5,3,6,6,7,6,7,5,5,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,2,2,1,2,2,7,6,6,1,2.2,2,1,1,1,1.33333333333333,1.5,1.66666666666667,6.5,6.33333333333333,2,2,3,6,6,7,4,3,4, , , , ,6,5,5,7,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307,3,4,2,4,5,4,5,4,5,2,4,1,2,5,4,5,5,2,5,4,1,5,2,3,2,4,1,3,5,4,1,4,2,1,2,5,1,5,5,5,2,2,4,5,3.375,3.11111111111111,2.88888888888889,3.125,3.5,2,2,2,1,1,2,4,3,5,4,4,3,5,3,2,3,2,2,6,7,3.15
50,0,23,2, , ,4,6,1,2,9,8,3,1,17,2,2,1,14,6,.333333333333333,1,3,5,6,3,5,5,3,5,5,5,5,4,4,5,5,4,5,4,3,5,5,3,5,4,6,5,5,5,4,5,3,4,6,5,4,5,4,3,4,5,6,4,4,4,5,4,6,4,4,3,5,3,3,4,4.5,4.2,5,4,4,4.5,5,4,3.66666666666667,3,3.33333333333333,4,6,7,6,5,5,6,7,6, , , , ,3,4,5,6,-1.27820321974051,.538352118707369,1.74956561300156,1.26317473387174,3,2,3,2,4,3,3,2,2,2,3,4,3,4,3,3,2,3,4,3,4,2,3,2,3,2,2,3,2,4,3,2,3,3,4,3,3,4,2,4,3,4,1,4,3,2.66666666666667,2.77777777777778,2.125,3.4,5,5,3,5,5,5,5,4,5,5,5,4,6,6,5,4,6,5,5,7,5
51,0,27,3, , ,5,1,1,5,11,11,0,2, ,2,1,1,0, , ,1,5,4,4,3,3,2,3,2,3,3,3,2,3,3,2,4,6,4,5,3,6,4,6,4,6,4,3,5,5,5,6,5,6,5,4,5,3,5,4,5,5,5,5,4,4,2,3,4,5,6,3,3,5,4,5.33333333333333,4.4,4.66666666666667,5,4.66666666666667,3,3,4.5,5,4,4,6,8,6,5,4,4,3,2,2, , , , ,5,3,2,2,.394169620347785,-.349201374296671,-.604629292728481,-1.77175244996412,4,2,4,3,3,2,4,2,2,4,3,3,3,4,3,4,4,2,4,4,2,4,3,2,4,4,2,3,4,3,2,4,3,3,2,4,3,4,3,4,2,3,2,3,3.125,3.22222222222222,2.88888888888889,2.375,3.2,4,5,4,6,6,6,6,5,6,6,5,6,5,5,4,5,5,5,6,5,5.25
67,0,37,3, , ,3,1,1,5,7,1,2,1,21,2,2,2,10,16,.125,1,4,6,2,4,6,7,5,6,7,6,6,7,3,6,7,3,5,6,6,2,4,6,7,7,6,5,2,7,7,7,7,7,7,7,7,5,6,1,7,4,5,6,6,7,6,4,6,6,3,6,7,2,1,2,7,5.2,5.33333333333333,6,6.33333333333333,5,5.33333333333333,4.5,5,1.5,1.66666666666667,5,7,7,3,8,4, ,5,6, , , , ,5,3,4,5,.394169620347785,-.349201374296671,.964833977758214,.504442937912773,3,2,4,3,5,4,3,2,2,5,4,4,4,4,3,5,4,3,4,4,4,4,1,2,3,4,2,2,3,3,1,3,2,3,2,4,1,3,2,4,1,5,3,4,3.625,3.11111111111111,2.66666666666667,2.25,3.4,3,1,5,5,7,6,4,6,5,7,5,6,6,7,5,6,6,7,4,6,5.35
72,0,29,2, , ,4,3,1,2,10,10,2,1,28,2,1,1,1,1,1,1,4,6,5,6,7,5,6,7,5,6,7,5,6,5,6,3,4,3,2,3,4,4,3,4,3,2,3,2,3,2,3,2,3,4,3,2,2,5,2,3,4,3,2,3,4,3,2,3,4,3,3,6,5,4,2.5,3.2,3,2.5,2.66666666666667,3.5,3,3.5,3.33333333333333,5.5,5,7,8,7,8,7,2,8,9,7, , , , ,3,4,4,5,-1.27820321974051,.538352118707369,.964833977758214,.504442937912773,5,2,5,4,3,2,5,3,2,5,4,2,5,4,3,4,5,2,3,4,1,4,2,1,4,3,2,5,4,3,2,5,4,3,2,5,2,3,5,4,1,4,3,4,3.25,3.44444444444444,3.55555555555556,2.625,3.3,6,5,6,7,6,7,6,6,7,6,6,7,6,5,6,7,6,5,6,7,6.15
92,0,34,1,6, ,1,7,1,5,10,1,5,1,16,2,20,0,0,18,1.11111111111111,1,3,4,7,7,7,1,7,1,1,1,7,7,1,7,4,1,3,1,5,1,1,1,1,6,4,4,1,4,4,6,6,4,3,7,6,6,6,7,7,7,7,7,6,7,1,1,2,4,6,6,1,4,7,1,4.5,6.4,7,6.5,6.66666666666667,1,1.33333333333333,5,5.33333333333333,5.5,4,3,6,8,9,9,9,7,5,7, , , , ,6,5,5,5,1.23035604039193,1.42590561171141,1.74956561300156,.504442937912773,2,2,3,3,5,2,4,2,3,4,3,2,3,4,5,3,3,2,4,5,1,2,1,3,5,4,2,3,4,5,2,3,4,3,3,1,3,4,3,4,4,4,2,5,2.25,2.77777777777778,2.66666666666667,2.5,4.5,4,5,5,5,5,5,6,5,4,5,4,6,6,6,6,6,5,6,6,5,5.25
102,0,49,1, , ,5,7,1,5,10,9,6,1,21,2,4,4,100,28,.142857142857143,1,4,6,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,5,4,6,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,3,4,4.5,4.6,4.66666666666667,4.5,4.33333333333333,5,4.66666666666667,4.5,4.66666666666667,3.5,3.66666666666667,2,2,2,5,4,6,4,4,4, , , , ,4,4,4,5,-.44201679969636,.538352118707369,.964833977758214,.504442937912773,4,3,4,3,4,3,4,2,3,4,3,2,3,4,3,4,3,2,3,3,3,3,2,3,4,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3.25,3.11111111111111,2.77777777777778,2.25,3.3,5,4,4,4,3,5,4,3,4,4,5,4,4,5,4,5,5,4,4,4,4.2
