Participant_ID,SEX,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,Orientation,GenHealth1,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,BFFB1,BFFB2,BFFB3,BFFB4,BFFB5,BFFB6,BFFB7,BFFB8,BFFB9,BFFB10,BFFB11,BFFB12,BFFB13,BFFB14,BFFB15,BFFB16,BFFB17,BFFB18,BFFB19,BFFB20,BFFB21,BFFB22,BFFB23,BFFB24,BFFB25,BFFB26,BFFB27,BFFB28,BFFB29,BFFB30,BFFB31,BFFB32,BFFB33,BFFB34,BFFB35,BFFB36,BFFB37,BFFB38,BFFB39,BFFB40,BFFB41,BFFB42,BFFB43,BFFB44,IPC1,IPC2,IPC3,IPC4,IPC5,IPC6,IPC7,IPC8,IPC9,IPC10,IPC11,IPC12,IPC13,IPC14,IPC15,IPC16,IPC17,IPC18,IPC19,IPC20
183,1,58,1, , ,3,1,1,5,9,1,3,1,18, ,0,2,1,2,1,1,7,5,1,6,1,1,1,5,7,1,7,7,2,2,2,1,7,3,2,4,1,1,1,1,3,3,3,4,3,7,6,7,7,7,1,7,1,4,7,7,7,3,7,3,1,1,1,3,7,7,2,9,9,1,1,9,2,2,2,-1.36570651320956,-1.30329764467567,-.612600690624048,.484533354702673,5,1,5,2,5,1,5,1,2,5,5,2,5,1,2,5,5,2,1,4,1,2,4,5,4,5,1,5,1,4,1,5,5,4,4,5,2,5,1,4,4,4,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
100,0,48,1, , ,4,7,1,5,10,1,11,1,15, ,1,12,1,5,1,1,4,7,1,7,1,7,4,7,6,1,7,4,1,1,1,7,1,1,1,1,4,2,1,1,1,1,1,4,1,4,5,1,1,2,4,1,1,3,4,2,4,1,1,2,1,4,1, ,4,7,2,9,9,5,9,1,7,2,7,1.20919301261992,2.30337910263088,2.49858483928684,2.0099161380259,5,2,4,4,5,3,4,5,5,5,3,1,4,2,5,5,4,3,3,5,3,5,4,3,5,4,1,4,5,5,3,5,4,5,2,4,1,3,3,5,1,5,2,5,7,6,5,5,5,7,7,7,5,6,7,6,6,7,6,6,6,5,7,6
164,1,55,1, , ,3,6,2, , , ,5,1,13, ,0,0,1,5,1,1,1,4,1,1,1,3,1,6,4,1,1,1,7,7,7,2,7,7,7,7,7,7,7,7,6,5,5,5,5,3,6,6,6,6,3,4,2,6,6,6,6,6,2,6,6,6,5,6,6,6,1,1,1,8,1,5,5,1,1,-3.08230619709588,-2.20496683150231,-1.39039707310177,-2.56623221194378,4,1,5,1,1,1,4,1,2,2,2,1,5,4,2,2,5,1,4,1,2,4,1,4,1,3,4,5,1,2,1,4,5,2,5,4,1,5,4,1,5,4,4,1,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6
220,1,52,1, , ,4,2,1,5,10,1,6,1,17, ,1,0,1,3,7,4,7,4,1,6,1,1,1,4,7,1,4,4,1,7,1,4,4,1,1,1,4,4,1,1,2,4,4,6,6,6,1,1,2,4,4,1,1,1,7,7,7,2,2,7,4,7,2,7,7,7,2,4,4,1,1,9,1,1,1,-2.22400635515272,-2.20496683150231,-1.39039707310177,-1.80354082028217,5,1,5,1,5,1,5,1,5,5,5,1,5,5,5,5,5,1,5,3,1,5,1,4,3,1,1,5,1,3,1,5,5,5,4,5,1,5,3,3,3,5,1,3,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
40,0,31,3, , ,4,2,1,5,11,1,1,1,27,1,1,0,1,4,5,6,5,4,4,5,5,3,2,1,1,2,1,2,5,6,5,5,6,5,5,5,5,4,5,5,4,3,4,4,5,1, ,1,1,2,3,4,3,4,4,3,3,2,2,3,2,3,4,4,4,2,6,6,7,7,4,5,2,3,4,.350893170676761,.500040728977603,.942992074331398,1.24722474636429,4,4,4,4,5,4,5,3,3,4,5,4,5,3,4,3,4,2,2,3,4,3,2,3,4,3,2,4,4,3,3,4,4,4,4,3,4,4,4,3,3,4,4,3,3,5,5,4,5,5,4,3,3,4,5,3,3,3,3,5,5,5,4,5
72,0,29,2, , ,4,3,1,2,10,10,2,1,28,1,1,1,1,4,6,5,6,7,5,6,7,5,6,7,5,6,5,6,3,4,3,2,3,4,4,3,4,3,2,3,2,3,2,3,2,3,4,3,2,2,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,7,8,7,8,7,8,8,9,7,-1.36570651320956,.500040728977603,.942992074331398,.484533354702673,5,4,5,4,3,4,5,3,4,5,4,4,5,4,3,4,5,4,3,4,5,4,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,5,4,5,4,3,4,6,5,6,7,6,7,6,6,7,6,6,7,6,5,6,7,6,5,6,7
123,1,24,3, , ,4,6,1,2,10,8,1,1,23,1,1,1,1,5,6,5,3,4,5,3,4,5,3,5,6,4,2,4,5,4,3,4,6,3,5,6,5,3,4,5,6,2,3,4,5,3,4,6,4,2,3,4,5,2,3,4,5,4,2,3,4,5,6,4,3,4,6,4,2,3,4,6,8,4,5,.350893170676761,.500040728977603,.165195691853675,-1.04084942862055,4,2,3,4,3,2,3,4,3,4,4,4,3,2,3,4,3,2,3,4,2,3,3,4,3,3,3,4,2,2,3,4,3,4,3,3,3,4,3,2,3,4,3,2,6,4,3,5,5,4,3,3,6,5,5,5,4,5,5,1,2,4,6,4
132,1,24,1, , ,4,7,1,5,11,10,1,1,21,1,1,1,1,5,7,7,5,4,5,5,4,4,4,4,5,4,5,5,6,5,6,4,5,4,5,5,4,4,6,5,6,5,6,4,6,5,5,5,4,2,5,4,5,4,6,5,5,6,5,5,4,5,5,5,5,3,8,6,6,7,5,5,8,7,6,.350893170676761,1.40170991580424,.165195691853675,.484533354702673,3,1,2,2,2,2,2,2,3,2,2,3,4,3,3,4,3,3,3,4,3,5,2,3,4,4,2,4,3,2,4,3,3,3,3,3,3,4,2,3,3,2,3,3,5,5,4,5,5,4,6,7,1,1,6,7,5,7,6,7,4,5,4,5
181,1,27,2, , ,4,1,2, , , ,5,1,21,1,1,6,1,4,6,5,4,5,5,6,4,5,6,4,7,5,5,6,5,5,6,4,5,5,6,5,5,4,4,6,3,4,4,3,4,3,4,2,2,4,3,4,3,2,2,3,2,1,4,3,2,2,2,3,2,3,6,7,7,7,6,6,7,6,6,-.507406671266399,1.40170991580424,.942992074331398,-.27815803695894,3,4,3,4,4,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3,4,3,3,4,3,3,4,4,3,4,3,3,3,4,3,3,4,3,3,4,3,3,3,4,4,5,4,5,5,4,5,5,5,6,5,6,4,5,6,5,6,5,5,6
200,1,31,2, , ,3,1,1,5,10,10,3,1, ,1,1,1,1,5,6,5,6,5,7,6,5,6,5,7,6,7,7,5,6,5,7,6,6,7,6,7,5,6,6,7,2,3,2,1,2,2,1,2,2,3,2,3,2,3,2,1,2,2,2,2,3,2,3,1,1,2,8,7,8,8,8,9,8,7,9,1.20919301261992,1.40170991580424,1.72078845680912,2.0099161380259,4,4,3,4,4,5,4,4,3,4,4,4,3,5,4,5,4,3,4,4,5,4,4,5,4,5,3,4,5,4,4,5,4,5,3,4,5,3,4,4,5,3,4,4,6,7,5,6,4,5,7,6,6,7,6,5,7,6,6,5,6,5,7,6
