Participant_ID,Participant_Sex,Participant_Age,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MRSF1,MRSF2,MRSF3,MRSF4,MRSF5,MRSF6,MRSF7,MRSF8,MRSF9,MRSF10,MRSF11,MRSF12,MRSF13,MRSF14,MRSF15,MRSF16,MRSF17,MRSF18,MRSF19,MRSF20,MRSF21,MRSF22,MRSF23,MRSF24,MRSF25,MRSF26,MRSF27,MRSF28,MRSF29,MRSF30,MRSF31,MRSF32,MRSF33,MRSF34,MRSF35,MRSF36,MRSF37,MRSF38
38,1,28,3,2,4,5,4,1,3,2,5,3,5,6,2,1,2,3,3,2,3,3,4,3,2,4,3,2,4,2,3,3,2,4,2,3,3,3,2,2,2,1,2,3,3,1,4,3,1,3,2,2
40,1,31,5,4,4,5,5,3,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,1,1,1,2,2,4,3,3,4,2,3,3,3,3
44,1,29,7,5,3,6,3,5,4,6,4,6,4,6,3,2,3,3,2,4,3,3,2,3,3,2,3,2,3,3,2,2,3,3,2,3,3,2,3,2,3,2,2,2,3,3,2,4,2,2,2,3
49,1,36,7,6,1,1,1,5,3,6,6,7,6,7,4,3,1,2,2,3,2,2,2,2,3,2,2,4,2,2,2,1,1,1,2,2,2,4,3,4,1,4,4,4,3,3,3,2,4,3,2,4
50,1,23,5,5,5,3,5,5,5,5,4,4,5,5,2,3,2,2,3,2,3,2,3,2,1,2,3,3,3,2,3,3,2,3,2,3,3,2,4,2,3,2,3,3,2,3,2,3,2,3,2,3
51,1,27,4,3,2,3,2,3,3,3,2,3,3,2,2,2,3,2,3,3,2,3,3,3,2,4,3,2,3,3,3,3,3,3,2,3,3,4,3,3,3,3,2,2,2,3,3,3,2,2,2,2
67,1,37,6,6,7,5,6,7,6,6,7,3,6,7,4,2,1,3,4,3,3,2,3,4,3,4,4,4,3,4,4,4,2,2,3,3,4,1,4,4,1,4,3,3,4,4,2,3,1,2,3,1
72,1,29,6,7,5,6,7,5,6,7,5,6,5,6,2,3,2,3,2,3,2,1,2,3,2,3,2,3,2,3,2,3,2,3,2,1,2,3,2,3,4,3,4,3,4,3,4,3,2,3,4,3
92,1,34,4,7,1,7,1,1,1,7,7,1,7,4,3,1,2,1,2,4,1,3,1,1,3,3,2,4,4,1,1,1,1,2,1,2,1,1,3,1,2,3,4,3,4,3,4,4,2,1,1,1
102,1,49,6,5,4,5,4,5,4,5,4,5,4,5,3,3,2,3,3,3,3,2,3,3,3,2,3,3,2,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,3,2,3,2,3,3,2
106,1,29,6,6,6,7,5,3,3,4,5,5,5,4,3,4,3,3,4,3,2,3,3,3,2,3,3,2,3,2,3,2,2,3,3,3,2,3,3,4,3,4,3,2,3,2,2,3,3,2,3,3
310,1,26,7,2,5,7,2,4,5,7,2,4,3,6,3,2,4,4,1,2,3,4,2,3,3,2,1,3,2,3,4,1,3,2,3,4,1,2,4,3,1,3,2,3,4,3,1,3,2,4,1,4
311,1,29,5,4,4,5,4,6,5,4,4,3,4,4,4,3,3,3,4,3,3,3,2,3,3,3,2,3,3,4,3,3,4,3,3,2,3,3,4,3,3,4,4,4,3,3,3,4,4,3,4,4
313,1,33,1,4,4,5,4,4,2,4,5,5,5,6,2,2,3,3,2,3,2,2,3,2,3,2,3,3,2,3,3,2,3,3,3,2,3,2,3,2,2,3,2,3,2,3,3,2,2,3,3,3
319,1,35,2,1,2,6,2,7,7,4,1,6,2,1,1,4,2,1,4,2,1,3,2,1,2,4,1,2,3,2,2,1,4,3,2,1,1,2,1,4,3,2,3,4,4,2,1,1,2,4,1,4
325,1,25,6,6,7,5,4,7,5,4,6,7,4,6,3,2,4,3,2,1,3,4,3,2,3,2,4,3,2,3,4,2,3,4,3,2,4,3,2,4,3,3,2,3,2,3,4,3,2,4,4,3
327,1,28,5,4,5,3,4,5,6,3,3,3,4,4,4,3,2,4,3,2,3,2,3,3,3,4,2,2,3,3,3,3,3,3,3,1,3,4,2,4,1,3,3,4,2,1,4,2,3,2,4,3
344,1,30,5,3,5,5,3,3,4,5,4,3,3,5,3,2,3,3,2,3,3,2,3,2,2,3,3,2,3,3,2,2,3,3,3,2,2,3,3,2,3,2,1,2,3,3,2,2,2,3,2,3
356,1,37,5,6,5,4,6,5,4,5,6,5,6,4,3,3,4,3,2,3,4,3,2,3,3,4,3,3,2,3,3,3,4,3,3,2,3,4,3,2,2,2,3,3,2,2,3,4,3,3,2,3
367,1,28,3,6,5,5,5,6,6,5,4,4,3,4,3,4,4,3,3,3,3,2,2,2,3,3,3,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,4,2,2,2,3,1,4,4,4,4
376,1,28,5,5,5,5,3,4,5,5,3,5,3,6,3,2,4,3,3,2,3,3,2,3,3,2,3,3,1,2,3,2,3,3,3,2,2,3,3,2,3,3,2,3,2,4,3,3,2,3,2,2
379,1,27,1,1,4,7,4,2,4,4,4,4,2,2,1,1,1,1,1,1,1,1,3,1,3,3,2,3,4,4,1,3,1,1,1,1,1,4,1,1,1,3,4,4,3,1,3,4,3,1,3,1
384,1,29,6,5,4,7,6,4,6,5,3,5,5,3,3,2,2,4,3,3,4,3,3,1,4,4,2,3,3,3,2,4,3,3,4,2,3,3,2,4,4,4,2,2,2,4,3,3,2,4,3,3
28,1,33,6,7,5,6,5,6,5,7,6,4,6,7,4,3,4,2,3,2,3,2,4,3,3,2,4,3,2,4,3,3,3,2,4,2,4,3,2,4,2,3,3,4,2,3,4,4,3,3,2,3
30,1,35,1,4,1,6,1,1,1,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
33,1,27,5,5,5,4,5,5,5,3,6,5,5,4,3,3,2,2,3,2,4,3,3,2,3,2,2,3,3,2,3,3,1,3,3,2,3,3,1,3,2,3,2,2,2,3,4,3,3,2,3,2
35,1,42,4,1,4,4,4,5,1,1,7,1,7,1,3,4,2,1,1,2,2,3,2,1,3,3,2,3,3,3,1,3,3,1,1,3,1,1,3,3,3,4,3,3,4,3,3,3,4,3,4,1
110,1,29,6,4,3,6,7,6,4,7,6,4,7,5,3,2,2,3,1,2,2,3,2,3,3,2,3,1,1,2,3,2,2,3,3,2,2,4,3,2,1,2,3,3,1,4,3,2,3,2,2,4
115,1,36,7,6,7,6,6,5,7,4,7,5,7,4,1,1,1,2,1,1,1,1,1,1,4,4,3,2,3,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
306,1,38,6,6,6,5,5,6,4,5,4,5,5,6,3,2,3,3,2,2,3,4,4,2,4,4,3,3,4,3,4,4,3,3,3,4,4,3,4,3,3,2,3,3,4,2,3,4,3,2,3,3
315,1,29,1,3,5,3,5,3,7,5,3,5,4,6,1,3,2,4,2,4,3,2,3,4,2,4,3,1,3,4,3,3,2,4,1,3,2,4,2,3,1,4,2,2,3,2,4,2,3,3,4,2
317,1,29,5,5,4,5,3,4,5,5,6,3,5,5,3,3,2,3,4,3,2,3,2,2,3,4,3,2,3,3,2,3,4,3,3,3,4,3,2,3,3,3,3,3,3,4,3,2,3,3,2,2
330,1,25,4,5,6,5,5,4,5,5,4,5,4,5,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
332,1,34,3,5,3,6,3,3,3,4,5,3,4,3,1,1,1,1,1,1,1,1,2,1,3,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,1,1,3,1,1,1,1
333,1,29,5,4,5,4,3,4,5,4,3,4,5,4,3,2,3,3,2,3,3,2,3,2,2,3,2,2,3,3,2,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,2,3,3,2
348,1,47,5,4,3,4,3,2,2,2,5,2,6,2,1,1,1,2,1,4,4,2,3,2,3,4,3,3,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,3,3,2,1,2,2,2,1,1
351,1,30,5,4,4,5,5,3,5,6,6,5,5,5,3,3,4,4,3,3,3,3,4,4,3,4,3,3,3,4,3,3,3,3,4,4,4,3,2,3,4,3,4,3,3,3,4,4,3,4,4,3
352,1,33,6,7,5,4,6,7,4,7,4,6,7,5,4,3,4,2,3,3,4,2,3,3,4,3,4,2,3,4,3,4,3,2,4,3,4,2,4,3,4,4,3,4,2,3,4,4,3,3,2,4
370,1,56,5,2,5,5,2,2,3,2,6,2,6,2,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1
372,1,28,5,3,5,3,4,2,3,4,3,4,3,4,2,3,2,1,2,2,3,2,2,1,2,2,3,2,1,2,2,1,2,2,2,1,2,3,2,3,1,2,2,2,3,3,3,4,2,2,3,2
377,1,28,1,5,1,4,1,1,1,5,7,1,4,5,2,1,1,2,1,2,3,1,4,1,2,4,4,2,1,3,1,1,1,1,1,1,1,1,2,2,1,4,1,3,4,4,1,1,3,1,1,1
21,1,30,4,4,4,6,4,4,4,4,5,4,6,5,3,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,2,3,1,1,1,1,1,4,4,4,4,2,1,3,3,1,1,1
22,1,30,7,5,2,7,2,2,2,6,5,3,6,6,2,1,2,3,3,3,4,2,4,2,3,3,4,4,4,3,2,2,1,2,1,3,4,1,3,4,2,3,4,3,4,3,2,4,4,1,3,1
23,1,30,1,2,1,5,1,1,1,2,6,1,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
