Participant_ID,Participant_Sex,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Primarily_Attracted,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,Orientation,GenHealth1,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,MRSF1,MRSF2,MRSF3,MRSF4,MRSF5,MRSF6,MRSF7,MRSF8,MRSF9,MRSF10,MRSF11,MRSF12,MRSF13,MRSF14,MRSF15,MRSF16,MRSF17,MRSF18,MRSF19,MRSF20,MRSF21,MRSF22,MRSF23,MRSF24,MRSF25,MRSF26,MRSF27,MRSF28,MRSF29,MRSF30,MRSF31,MRSF32,MRSF33,MRSF34,MRSF35,MRSF36,MRSF37,MRSF38,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,SDQ1,SDQ2,SDQ3,SDQ4,MP1,MP2,MP3,MP4,MP5,MP6,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,BFFB1,BFFB2,BFFB3,BFFB4,BFFB5,BFFB6,BFFB7,BFFB8,BFFB9,BFFB10,BFFB11,BFFB12,BFFB13,BFFB14,BFFB15,BFFB16,BFFB17,BFFB18,BFFB19,BFFB20,BFFB21,BFFB22,BFFB23,BFFB24,BFFB25,BFFB26,BFFB27,BFFB28,BFFB29,BFFB30,BFFB31,BFFB32,BFFB33,BFFB34,BFFB35,BFFB36,BFFB37,BFFB38,BFFB39,BFFB40,BFFB41,BFFB42,BFFB43,BFFB44,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,PACS1,PACS2,PACS3,PACS4,PACS5,IPC1,IPC2,IPC3,IPC4,IPC5,IPC6,IPC7,IPC8,IPC9,IPC10,IPC11,IPC12,IPC13,IPC14,IPC15,IPC16,IPC17,IPC18,IPC19,IPC20,MFRQM1,MFRQM2,MFRQM3,MFRQM4,MFRQM5,MFRQM6,MFRQF1,MFRQF2,MFRQF3,MFRQF4,MFRQF5,MFRQF6,MFRQM7,MFRQM8,MFRQM9,MFRQM10,MFRQM11,MFRQM12,MFRQM13,MFRQF7,MFRQF8,MFRQF9,MFRQF10,MFRQF11,MFRQF12,MFRQF13,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,ECR10,ECR11,ECR12,ECR13,ECR14,ECR15,ECR16,ECR17,ECR18,ECR19,ECR20,ECR21,ECR22,ECR23,ECR24,ECR25,ECR26,ECR27,ECR28,ECR29,ECR30,ECR31,ECR32,ECR33,ECR34,ECR35,ECR36,FFCR1,FFCR2,FFCR3,FFCR4,FFCR5,FFCF1,FFCF2,FFCF3,FFCF4,FFCF5,FFSR1,FFSR2,FFSR3,FFSR4,FFSR5,FFSR6,FFSR7,FFSR8,FFSR9,FFSR10,FFSF1,FFSF2,FFSF3,FFSF4,FFSF5,FFSF6,FFSF7,FFSF8,FFSF9,FFSF10,Has_Childrten,Age_First_Child,Number_of_Children,Niumber_Partners_Ch,Number_Children_Want,Number_Children_Exp,LH_Peer_Death,LH_Peer_Death_Number,LH_Peer_Death_Closen,LH_Years_Left_To_Liv
38,1,28,1, , ,2,1,1,5,8,9,3,1,17,2,4,1,0,1,3,3,5,5,2,4,5,4,1,3,2,5,3,5,6,2,1,2,3,3,2,3,3,4,3,2,4,3,2,4,2,3,3,2,4,2,3,3,3,2,2,2,1,2,3,3,1,4,3,1,3,2,2,3,6,5,2,4,5,3,3,6,3,5,2,3,2,3,2,4,3,3,2,2,3,3,5,2,2,5,6,4,4,3,6,5,5,1,4,2,2, ,4,4,2,3,5,5,2,3,7,5,4,7,4,3,3,6,7,8,2,4,5,5,5,4,4,5,7,6,3,5,5,3,4,6,6,4,3,5,3,3,3,4,4,5,4,6,4,5,2,3,1,3,3,2,4,2,2,5,4,2,1,5,1,3,2,4,3,3,2,4,3,1,5,2,3,5,3,2,5,2,4,3,4,1,3,4,1,5,3,4,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,2,1,2, ,2,1,1,2,2,1,2,1,1,1,1,4,3,5,4,2,4,6,4,7,5,2,5,4,2,2,3,3,3,6,3,4,5,3,3,3,1,3,1,3,3,2,3,1,3,3,2, ,3,2,2,3,3,4,3,3,1,2,4,1,4,6,5,4,3,3,7,5,2,4,4,3,3,1,2,7,2,5,3,3,5,4,5,5,3,1,7,3,6,6,5,3,6,2,5,2,4,3,2,4,2,3,2,2,2,2,3,4,2,3,3,3,3,3,4, ,1,2,3,2,4,3,3,3,3,3,2, , , ,0,0,1,2,2,50
40,1,31,3, , ,4,2,1,5,11,1,1,1,27,2,1,1,0,1,4,5,6,5,4,4,5,5,3,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,1,1,1,2,2,4,3,3,4,2,3,3,3,3,5,6,5,5,6,5,5,5,5,4,5,5,4,3,4,5,4,4,3,4,3,4,4,3,4,4,5,1, ,1,1,2,3,4,3,4,4,3,3,2,2,3,2,3,4,4,4,2,6,6,7,7,4,5,2,3,4,5,4,4,6,5,7,5,3,6,4,5,4,5,5,4,5,5,6,6,6,5,6,5,5,6,5,5,4,5,5,4,4,4,4,5,4,5,3,3,4,5,4,5,3,4,3,4,2,2,3,4,3,2,3,4,3,2,4,4,3,3,4,4,4,4,3,4,4,4,3,3,4,4,3,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,4,3,4,4,4,3,5,5,4,5,5,4,3,3,4,5,3,3,3,3,5,5,5,4,5,3,4,3,3,4,3,3,3,3,3,4,3,4,3,4,3,3,4,4,3,3,3,3,3,3,3,5,5,6,5,6,6,5,6,5,5,5,5,4,5,3,5,5,4,5,3,4,3,4,5,5,5,4,5,3,4,3,3,3,4,4,5,3,2,3,3,3,2,2,3,2,2,3,3,3,4,4,3,3,3,3,3,4,2,4,3,4,3,3,3,2,3,2, , , ,3,3,2, , ,80
44,1,29,3, , ,4,4,1,3,9,5,5,1,18,2,4,2,5,1,5,7,5,5,5,3,6,3,5,4,6,4,6,4,6,3,2,3,3,2,4,3,3,2,3,3,2,3,2,3,3,2,2,3,3,2,3,3,2,3,2,3,2,2,2,3,3,2,4,2,2,2,3,3,5,4,4,3,5,6,4,3,5,5,3,3,4,2,4,2,3,4,3,3,2,6,5,4,5,5,6,5,4,5,5,4,5,5,6,5,4,5,6,5,4,6,4,6,5,4,6,5,3,4,4,5,4,5,7,5,5,4,4,4,7,3,5,6,5,4,6,6,5,7,4,6,6,5,7,5,5,6,6,5,7,6,5,6,7,6,4,3,4,5,4,4,4,4,4,4,5,3,4,2,3,4,4,3,3,3,3,4,3,4,2,4,2,3,3,4,4,3,4,2,4,4,3,4,4,4,3,3,4,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,2,1,1,2,3,3,3,3,3,5,6,4,6,5,6,6,4,3,5,4,6,6,5,7,6,4,6,6,5,4,4,2,4,3,3,2,2,2,3,3,2,4,3,3,3,3,3,3,2,2,3,3,3,3,2,4,5,3,5,6,3,4,5,5,5,6,5,4,6,6,4,5,6,6,6,6,6,5,6,5,6,5,6,6,7,5,5,7,4,4,6,2,2,3,2,3,2,3,2,2,4,2,3,3,2,3,2,3,3,3,2,4,3,3,4,2,2,2,2,3,2,1,24,1,1,2,2,2, , ,50
49,1,36,8, , ,4,4,1,4,10,8,30,1,18,2,5,5,3,1,3,7,6,7,6,1,1,1,5,3,6,6,7,6,7,4,3,1,2,2,3,2,2,2,2,3,2,2,4,2,2,2,1,1,1,2,2,2,4,3,4,1,4,4,4,3,3,3,2,4,3,2,4,5,5,2,2,2,2,1,1,2,1,1,1,5,5,5,5,5,4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,2,1,2,1,2,2,2,2,3,6,6,3,4,3,4,6,5,5,7,1,10,10,1,1,1,5,4,3,3,2,2,7,7,6,6,6,6,5,6,5,6,5,5,6,2,3,2,2,4,5,2,5,2,1,2,4,5,2,5,4,5,5,4,5,4,5,5,4,3,2,4,5,3,5,4,5,4,2,5,4,5,5,5,5,5,4,2,2,5,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,5,4,4,3,5,2,2,2,1,1,2,4,3,5,4,4,3,5,3,2,3,2,2,6,7,3,4,2,4,3,4,4,3,4,4,3,1,3,3,1,1,4,1,3,4,4,1,3,4,2,4,6,6,6,7,7,6,6,6,6,3,7,1,2,1,1,1,1,6,5,6,7,6,2,2,2,1,2,2,7,6,5,2,7,7,4,4,4,4,2,2,3,2,1,2,3,2, ,1,2,2,4,3, ,3,3, ,2, , , , , ,2, , ,2,2, , , ,0,1,2, , ,50
50,1,23,2, , ,4,6,1,2,9,8,3,1,17,2,2,1,14,1,3,5,6,3,5,5,3,5,5,5,5,4,4,5,5,2,3,2,2,3,2,3,2,3,2,1,2,3,3,3,2,3,3,2,3,2,3,3,2,4,2,3,2,3,3,2,3,2,3,2,3,2,3,4,5,4,3,5,5,3,5,4,6,5,5,3,4,3,3,4,3,4,4,3,4,5,4,5,3,4,6,5,4,5,4,5,4,5,6,4,4,4,5,4,6,4,4,3,5,5,4,4,6,7,6,5,5,6,7,6,3,4,5,6,7,6,8,6,8,8,5,5,6,3,6,5,5,5,5,3,3,6,5,4,4,5,5,4,4,5,3,4,3,2,4,3,3,4,4,2,3,2,3,4,3,3,2,3,4,3,2,2,3,4,3,2,4,3,2,4,3,2,3,3,2,3,3,4,2,4,3,4,5,4,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,1,3,2,4,3,4,5,5,3,5,5,5,5,4,5,5,5,4,6,6,5,4,6,5,5,7,3,3,3,3,3,4,1,3,3,3,2,2,3,3,2,3,3,3,3,1,3,3,3,3,2,3,4,5,5,4,4,6,5,4,5,5,4,5,4,5,5,4,4,4,6,4,5,6,4,4,6,5,3,4,5,5,6,4,4,5,5,5,3,3,2,2,2,2,4,3,2,3,2,4,2,2, ,2,4,3, ,3,3,3, ,3,3,2,2, ,3,2,2, , , ,0,3,2, , ,60
51,1,27,3, , ,5,1,1,5,11,11,0,2, ,2,1,1,0,1,5,4,4,3,3,2,3,2,3,3,3,2,3,3,2,2,2,3,2,3,3,2,3,3,3,2,4,3,2,3,3,3,3,3,3,2,3,3,4,3,3,3,3,2,2,2,3,3,3,2,2,2,2,4,6,4,5,3,6,4,6,4,6,4,3,4,4,3,3,4,2,3,3,3,3,5,5,5,6,5,6,5,4,5,3,3,4,5,5,5,5,4,4,2,3,4,5,6,5,3,4,6,8,6,5,4,6,3,2,2,5,3,2,2,10,3,2,2,2,2,5,5,6,4,7,4,5,5,6,7,5,5,4,6,6,6,5,2,3,5,4,4,4,3,3,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3,3,4,4,3,4,3,4,4,3,4,3,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,4,4,3,3,3,4,5,4,6,6,6,6,5,6,6,5,6,5,5,4,5,5,5,6,5,3,3,2,3,2,4,3,2,3,3,4,3,2,3,2,2,3,2,2,3,2, ,2,3,4,3,6,5,6,6,5,5,5,5,6,3,5,5,5,6,5,5,6,6,3,5,5,6,6,5,5,5,5,3,5,5,6,5,5,5,6,4,2,3,2,4,2,1,3,2,3,2,4, ,3, , ,4, , , ,3, ,2, ,1,1, ,2,1,2, ,2, , , ,0,0,2, , ,70
67,1,37,3, , ,3,1,1,5,7,1,2,1,21,2,2,2,10,1,4,6,2,4,6,7,5,6,7,6,6,7,3,6,7,4,2,1,3,4,3,3,2,3,4,3,4,4,4,3,4,4,4,2,2,3,3,4,1,4,4,1,4,3,3,4,4,2,3,1,2,3,1,3,5,6,6,2,4,6,7,7,6,5,2,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,5,6,7,7,4,5,6,6,7,6,4,6,6,3,6,6,7,6,5,7,7,3,8,6, ,5,6,5,3,4,5,3,5,8,3,4,5,6,5,5,6,7,5,6,6,3,5,5,6,6,4,3,6,7,7,5,6,3,4,4,3,5,2,3,4,4,5,4,2,4,4,3,5,4,3,4,4,2,4,5,4,3,4,4,2,3,3,5,3,2,3,4,4,5,3,2,4,5,5,3,4,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,4,4,5,4,5,3,1,5,5,7,6,4,6,5,7,5,6,6,7,5,6,6,7,4,6,3,3,2,3,1,1,4,4,4,3,3,1,3,2,4,3,3,3,4,4,4,3,3,2,4,4,6,4,5,5,5,7,4,6,6,6,5,5,5,7,3,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,4,3,4,4,4,4,4,4,3,3,2,3,4,3,3,3,3,2,4,4,3,3,4,4,3,1,4,3,1,24,2,1,2,2,1,1,1,5
72,1,29,2, , ,4,3,1,2,10,10,2,1,28,2,1,1,1,1,4,6,5,6,7,5,6,7,5,6,7,5,6,5,6,2,3,2,3,2,3,2,1,2,3,2,3,2,3,2,3,2,3,2,3,2,1,2,3,2,3,4,3,4,3,4,3,4,3,2,3,4,3,3,4,3,2,3,4,4,3,4,3,2,3,4,5,4,5,4,4,5,4,3,4,2,3,2,3,2,3,4,3,2,2,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,7,8,7,8,7,8,8,9,7,3,4,4,5,9,8,9,8,9,8,6,5,6,4,5,4,5,6,5,7,5,6,5,6,7,6,5,6,6,7,5,4,5,4,3,4,5,3,4,5,4,4,5,4,3,4,5,4,3,4,5,4,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,5,4,5,4,3,4,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,2,4,3,4,5,4,6,5,6,7,6,7,6,6,7,6,6,7,6,5,6,7,6,5,6,7,3,4,3,4,4,3,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,2,4,3,2,3,5,6,7,6,5,6,7,5,6,5,6,7,6,5,6,7,5,6,6,7,6,5,6,7,6,5,6,6,5,6,7,6,5,6,7,6,4,3,4,3,4,3,4,3,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,2,3,4,3,3,4,3,2, , , ,0,0,2, , ,65
92,1,34,1,6, ,1,7,1,5,10,1,5,1,16,2,20,0,0,1,3,4,7,7,7,1,7,1,1,1,7,7,1,7,4,3,1,2,1,2,4,1,3,1,1,3,3,2,4,4,1,1,1,1,2,1,2,1,1,3,1,2,3,4,3,4,3,4,4,2,1,1,1,1,3,1,5,1,1,1,1,6,4,4,1,1,3,4,3,1,1,3,1,1,1,4,4,6,6,4,3,7,6,6,6,1,7,7,7,7,6,7,1,1,2,4,6,6,4,1,7,3,6,8,9,9,1,7,5,7,6,5,5,5,5,1,5,3,4,2,2,6,6,6,6,6,2,3,4,7,2,1,4,4,3,6,6,6,2,1,2,4,3,3,5,4,4,4,3,4,3,4,3,4,5,3,3,4,4,5,5,2,5,3,5,4,4,3,4,5,4,3,4,3,3,1,3,4,3,4,2,4,4,5,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,3,2,3,5,1,4,5,5,5,5,5,6,5,4,5,4,6,6,6,6,6,5,6,6,5,2,2,2,2,3,2,1,1,3,1,1,1,2,2,1,4,2,2,3,1,1,1,4,2,2,4,2,7,6,7,2,6,2,7,1,7,1,1,4,7,6,1,1,6,7,4,1,1,1,4,3,4,6,4,5,6,6,6,6,7,6,3,2,1,3,1,4,3,2,4,2,4,1,1,1,2,3,1,2,3,1,1,4,3,3,2,4,3,4,4,1,1,2, , , ,0,0,1,10,2,55
102,1,49,1, , ,5,7,1,5,10,9,6,1,21,2,4,4,100,1,4,6,5,4,5,4,5,4,5,4,5,4,5,4,5,3,3,2,3,3,3,3,2,3,3,3,2,3,3,2,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,3,2,3,2,3,3,2,5,4,4,5,5,4,6,5,4,5,4,5,4,3,4,3,3,4,3,3,4,3,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,2,2,2,5,4,4,4,4,4,4,4,4,5,7,6,6,7,6,7,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,4,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,4,4,4,3,5,4,3,4,4,5,4,4,5,4,5,5,4,4,4,3,3,4,3,3,3,3,3,3,3,2,3,4,4,4, ,3,3,3,3,3,3,3,2,2,3,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,5,5,5,4,5,4,4,5,5,4,4,5,4,5,4,4,5,5,4,5,4,4,4,4,4,3,2,2,3,3,3,3,3,3,4,3,3,2,3,3,3,2,2,2,3,3,3,2,2,2,1,29,2,1,6,6,1,2,1,115
