Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
21,1,30,1,5,1,14,25,1,7,4,4,4,4,4,6,4,4,4,4,5,4,6,5
23,1,30,2,1,1,28,1,0,0,1,7,5,2,1,5,1,1,1,2,6,1,5,6
24,1,30,1,1,2, ,0,0,0,1,1,1,1,1,1,1,6,6,6,6,6,7,5
25,1,25,1,2,1,25,2,2,3,6,5,3,6,6,7,6,7,6,5,6,5,6,6
26,1,29,1,3,1,19,3,2,6,6,6,4,6,6,6,2,7,4,7,7,1,7,6
27,1,24,1,6,1,18,8,3,12,5,6,7,6,2,7,2,6,5,6,7,5,6,5
28,1,33,1,2,1,18,2,1,1,6,6,7,7,5,6,5,6,5,7,6,4,6,7
29,1,35,1,3,1,15,3,1,6,1,7,7,1,1,7,1,7,1,1,7,1,7,1
30,1,35,2,4,1,14,1,1,0,1,4,4,4,1,6,1,1,1,4,4,1,1,4
32,1,34,2,55,1,11,160,4,25,7,4,4,7,2,4,6,7,7,7,4,3,4,4
33,1,27,1,1,1,22,1,1,3,5,6,3,5,5,4,5,5,5,3,6,5,5,4
34,1,32,1,5,1,27,1,1,8,1,2,6,2,2,6,2,2,2,3,5,2,7,2
35,1,42,1,1,1,30,1,1,0,4,5,1,1,4,4,4,5,1,1,7,1,7,1
36,1,49,1,10,1,16,20,1,2,6,5,4,5,5,5,5,6,5,5,5,4,6,6
37,1,34,1,10,1,17,15,1,8,7,7,6,7,4,7,4,7,6,7,7,4,5,6
38,1,28,1,3,1,17,4,1,0,3,5,5,2,4,5,4,1,3,2,5,3,5,6
40,1,31,1,1,1,27,1,1,0,5,6,5,4,4,5,5,3,2,1,1,2,1,2
41,1,33,1,3,1,21,3,1,25,2,2,6,5,6,7,2,2,7,6,6,2,1,6
42,1,32,2,5,1,18,23,19,3,6,6,7,7,4,7,5,5,6,7,6,4,6,4
43,1,29,1,1,1,25,1,1,2,7,7,4,1,1,4,1,1,1,5,7,1,7,7
