Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
61,0,76,0,45,1,18,25,0,0,5,5,4,1,6,4,5,5,5,1,4,5,4,1
96,0,76,0,4,1,14,20,0,0,2,5,5,2,2,6,2,3,3,2,4,2,4,1
45,0,70,0,23,1,18,12,0,0,3,5,5,3,2,6,4,5,5,2,6,3,5,2
74,0,69,1,5,1,18,3,1,2,1,5,5,1,1,5,1,5,1,1,7,2,7,5
97,0,67,1,20,1,17,12,1,2,1,1,6,6,1,6,1,1,1,6,6,1,6,6
60,0,66,1,6,1,24,13,1,5,2,3,4,4,3,6,4,5,3,4,6,2,5,4
340,0,66,1,3,1,20,1,1,4,2,4,5,4,1,5,1,1,4,4,7,1,7,5
48,0,65,0,5,1,17,200,3,2,5,7,7,4,1,5,2,6,4,3,4,4,4,5
80,0,63,1,10,1,19,15,1,12,2,2,6,4,2,6,2,5,6,6,7,2,7,7
343,0,62,1,10,1,18,4,1,4,2,2,6,2,1,5,1,2,2,2,4,2,4,2
394,0,62,1,12,1,14,7,1,2,3,6,6,1,2,5,1,1,1,1,7,1,7,4
90,0,61,1,1,1,23,1,1,0,4,4,6,6,1,3,1,4,1,4,5,1,4,3
62,0,59,0,9,1,16,14,1,0,2,5,5,1,1,5,2,4,5,2,5,5,5,2
215,1,58,0,10,1,17,10,0,0,2,4,5,5,4,4,4,4,4,4,4,4,4,4
194,1,56,0,20,1,15,25,0,0,3,6,6,2,2,6,2,2,5,2,5,4,6,5
301,1,56,0,4,1,21,6,0,0,1,1,1,1,1,1,1,1,1,1,6,1,4,4
164,1,55,0,5,1,13, ,0,0,1,1,1,4,1,1,1,3,1,6,4,1,1,1
59,0,54,0,12,1,15,45,2,0,5,3,6,1,5,6,5,6,5,1,5,4,5,3
54,0,51,1,7,1,16,7,1,0,5,7,7,7,1,5,1,7,1,7,7,1,7,7
86,0,51,1,15,1,15,20,1,6,2,5,5,5,2,7,2,3,3,5,6,3,6,5
334,0,50,1,12,1,15,10,1,2,5,5,6,6,5,5,3,5,5,5,4,5,4,5
36,0,49,1,10,1,16,20,1,2,6,5,4,5,5,5,5,6,5,5,5,4,6,6
102,0,49,1,6,1,21,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5,4,5
175,1,49,1,14,1,14,33,1,0,4,5,6,7,1,7,1,3,2,4,7,2,7,6
375,0,49,1,1,1,25,2,1,10,1,2,5,6,2,7,2,3,5,6,6,4,6,7
112,0,49,0,6,1,21,6,1,0,2,6,7,7,1,7,1,6,1,7,4,1,4,2
196,1,49,0,6,1,15,12,2,1,3,6,5,2,3,5,3,2,3,3,5,4,7,5
65,0,48,1,3,1,20,3,1,0,1,1,2,7,1,7,1,5,3,7,4,1,4,5
100,0,48,1,11,1,15, ,1,12,1,1,4,7,1,7,1,7,4,7,6,1,7,4
203,1,48,1,5,1,18,5,1,5,1,6,7,1,1,7,1,1,1,1,7,1,7,3
205,1,48,1,5,1,16,21,1,1,2,3,6,5,1,6,1,2,1,5,6,1,4,4
206,1,48,1,5,1,28,5,1,4,1,7,7,6,1,5,1,3,4,6,5,2,3,2
212,1,48,1,8,1,16,20,1,0,1,1,5,3,1,5,1,3,1,2,6,1,6,2
227,1,47,1,6,1,17,20,1,5,3,6,5,1,4,6,5,5,4,1,7,4,7,5
250,1,47,1,10,1,16,20,2,25,1,5,5,4,4,4,4,1,1,1,1,1,1,4
252,1,47,1,4,1,13,80,1,3,2,6,5,2,1,3,1,4,3,5,5,1,5,1
291,1,47,1,7,1,17,7,1,4,1,6,7,1,1,7,1,5,1,1,7,1,4,1
348,0,47,1,1,1,27,1,1,1,5,4,5,4,3,4,3,2,2,2,5,2,6,2
339,0,47,0,2,1,28,3,0,0,5,6,6,4,2,4,2,6,2,4,5,2,5,6
64,0,46,1,7,1,20,10,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
190,1,46,1,2,1,22,3,1,6,4,6,5,2,2,6,2,2,2,2,6,2,3,2
193,1,46,1,10,1,18,5,1,15,5,4,5,6,1,6,1,2,6,6,7,3,7,4
46,0,45,1,1,1,24,1,1,8,1,1,1,1,1,1,1,1,1,1,6,1,6,2
58,0,45,1,20,1,12,25,1,12,2,5,5,6,1,6,1,5,1,7,7,1,7,5
87,0,45,1,16,1,17,16,1,0,1,7,7,3,1,5,1,4,1,2,7,1,6,1
225,1,45,1,4,1,15,4,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,45,1,50,1,14,30,1,10,1,4,4,4,4,6,1,4,4,4,7,4,7,4
247,1,45,1,5,1,17,2,1,6,1,4,7,4,1,7,1,1,1,5,7,1,7,1
278,1,45,1,20,1,15,11,1,6,5,7,6,4,3,6,3,1,4,3,5,3,5,4
326,0,45,1,2,1,25,1,1,10,1,1,1,4,4,5,1,1,1,1,5,1,5,2
373,0,45,1,8,1,17,7,1,7,1,7,7,7,1,7,1,1,4,7,7,1,7,7
213,1,45,0,3,1,24,17,1,4,1,1,1,1,1,5,1,1,1,2,4,1,4,1
126,1,44,1,3,1,20,2,1,8,2,5,3,2,2,7,2,2,1,2,6,1,6,2
140,1,44,1,3,1,16,3,1,0,1,1,5,1,1,6,1,1,1,1,7,1,6,1
289,1,44,1,2,1,29,1,1,1,6,5,6,5,4,5,6,7,6,5,6,1,1,1
295,1,44,1,6,1,16,6,1,15,5,6,3,2,2,5,2,2,5,2,5,2,5,2
