Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
38,0,3,3,3,2,4,5,4,1,3,2,5,3,5,6,3,5,5,3,4,6,6,4,3,5,3,3,3,4,4,5,4,6,4,5
40,0,5,2,3,4,4,5,5,3,2,1,1,2,1,2,5,4,5,5,4,5,5,6,6,6,5,6,5,5,6,5,5,4,5,5
44,0,7,3,3,5,3,6,3,5,4,6,4,6,4,6,6,6,5,7,4,6,6,5,7,5,5,6,6,5,7,6,5,6,7,6
49,0,7,2,1,6,1,1,1,5,3,6,6,7,6,7,5,4,3,3,2,2,7,7,6,6,6,6,5,6,5,6,5,5,6,2
50,0,5,2,5,5,5,3,5,5,5,5,4,4,5,5,5,5,6,3,6,5,5,5,5,3,3,6,5,4,4,5,5,4,4,5
51,0,4,4,5,3,2,3,2,3,3,3,2,3,3,2,5,5,6,4,7,4,5,5,6,7,5,5,4,6,6,6,5,2,3,5
67,0,6,6,4,6,7,5,6,7,6,6,7,3,6,7,6,5,5,6,7,5,6,6,3,5,5,6,6,4,3,6,7,7,5,6
72,0,6,3,2,7,5,6,7,5,6,7,5,6,5,6,6,5,6,4,5,4,5,6,5,7,5,6,5,6,7,6,5,6,6,7
92,0,4,1,1,7,1,7,1,1,1,7,7,1,7,4,2,6,6,6,6,6,2,3,4,7,2,1,4,4,3,6,6,6,2,1
102,0,6,3,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5
106,0,6,3,3,6,6,7,5,3,3,4,5,5,5,4,4,5,5,3,4,4,5,5,6,6,5,6,5,5,4,4,6,7,5,5
123,1,6,3,5,4,5,3,4,5,3,5,6,4,2,4,6,4,3,4,5,6,5,3,4,5,6,5,3,4,5,4,6,5,3,4
132,1,7,1,3,4,5,5,4,4,4,4,5,4,5,5,6,6,5,4,6,5,6,4,6,7,5,7,7,5,6,6,6,5,7,5
161,1,6,3,1,6,5,6,6,6,5,7,6,5,6,7,6,5,7,6,5,6,7,7,5,6,6,5,7,6,5,6,7,6,5,6
181,1,6,3,4,5,5,6,4,5,6,4,7,5,5,6,5,5,4,4,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4
200,1,6,3,2,5,7,6,5,6,5,7,6,7,7,5,6,6,6,4,7,6,6,5,7,6,6,6,7,5,7,6,6,5,5,6
215,1,2,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,3,3,3,3,4
217,1,7,2,1,6,6,7,6,7,6,5,6,5,6,6,7,6,7,6,7,7,6,6,6,7,7,6,7,6,6,7,7,6,6,7
224,1,5,4,4,4,4,5,4,4,3,4,5,5,5,4,5,4,3,4,4,4,4,3,4,4,4,3,4,5,4,4,4,3,4,5
236,1,5,6,2,5,3,4,5,5,2,6,5,6,6,7,5,4,6,6,5,7,6,4,6,6,6,5,7,6,4,6,7,5,6,6
241,1,6,1,3,6,4,6,5,5,5,5,4,5,5,4,6,4,4,4,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5
257,1,4,5,6,5,4,3,3,5,4,5,4,3,2,4,5,4,3,5,6,5,4,5,4,3,5,6,5,4,3,6,5,5,6,4
263,1,5,6,2,4,4,6,3,6,1,6,5,3,5,6,6,3,5,3,5,4,6,5,3,5,5,4,5,6,3,5,3,5,3,5
272,1,3,3,2,6,5,5,5,2,4,3,3,5,5,6,5,6,6,6,5,5,4,5,6,5,5,6,6,5,6,6,7,6,5,5
275,1,6,1,3,3,5,6,4,3,6,7,6,5,3,5,6,7,4,3,4,5,5,4,3,5,6,5,2,5,7,5,5,3,5,6
279,1,1,3,2,1,1,1,2,1,1,1,4,1,4,1,5,5,6,6,6,4,7,5,4,4,4,4,7,5,7,5,5,5,4,7
288,1,1,7,3,3,1,7,1,2,1,2,3,1,3,1,5,6,3,6,3,7,1,7,6,3,1,7,3,2,2,1,1,1,1,1
310,0,7,6,4,2,5,7,2,4,5,7,2,4,3,6,5,7,3,5,2,4,4,7,6,3,4,6,7,3,4,7,3,4,3,6
311,0,5,3,4,4,4,5,4,6,5,4,4,3,4,4,6,7,5,6,5,5,4,6,6,5,6,5,4,4,6,5,3,5,6,4
313,0,1,6,5,4,4,5,4,4,2,4,5,5,5,6,4,3,2,4,5,5,4,3,4,5,4,3,4,3,4,4,4,4,4,4
319,0,2,1,7,1,2,6,2,7,7,4,1,6,2,1,2,5,2,5,3,6,3,6,2,7,3,6,7,3,4,3,6,2,3,2
325,0,6,3,4,6,7,5,4,7,5,4,6,7,4,6,5,7,5,4,6,7,5,4,6,5,6,5,4,6,7,6,4,6,5,7
327,0,5,3,5,4,5,3,4,5,6,3,3,3,4,4,5,6,6,6,7,5,4,4,6,5,1,7,6,5,6,5,6,5,6,6
344,0,5,4,5,3,5,5,3,3,4,5,4,3,3,5,6,5,4,3,4,5,5,4,3,4,5,4,3,4,5,4,3,4,5,4
356,0,5,4,3,6,5,4,6,5,4,5,6,5,6,4,6,7,6,5,6,7,6,5,6,7,6,7,6,5,6,7,6,5,5,6
